Date,Time,Name,Status
10/07/2019,15:49:07,LIGHT-TNK-4,ON
10/07/2019,17:46:00,BLUE-TNK-1,RampUp
10/07/2019,17:46:00,BLUE-TNK-2,RampUp
10/07/2019,17:46:00,BLUE-TNK-3,ON
10/07/2019,17:46:00,BLUE-TNK-4,ON
10/07/2019,17:46:00,BluLED_24_5,ON
10/07/2019,18:30:00,WHITE-TNK-1,OFF
10/07/2019,18:30:00,WHITE-TNK-2,OFF
10/07/2019,18:30:00,WHITE-TNK-3,OFF
10/07/2019,18:30:00,WHITE-TNK-4,OFF
10/07/2019,18:30:00,WhtLED_24_6,OFF
10/08/2019,05:36:00,BLUE-TNK-1,OFF
10/08/2019,05:36:00,BLUE-TNK-2,OFF
10/08/2019,05:36:00,BLUE-TNK-3,OFF
10/08/2019,05:36:00,BLUE-TNK-4,OFF
10/08/2019,05:36:00,BluLED_24_5,OFF
10/08/2019,06:53:00,WHITE-TNK-1,RampUp
10/08/2019,06:53:00,WHITE-TNK-2,RampUp
10/08/2019,06:53:00,WHITE-TNK-3,ON
10/08/2019,06:53:00,WHITE-TNK-4,ON
10/08/2019,06:53:00,WhtLED_24_6,ON
10/08/2019,18:29:00,WHITE-TNK-1,OFF
10/08/2019,18:29:00,WHITE-TNK-2,OFF
10/08/2019,18:29:00,WHITE-TNK-3,OFF
10/08/2019,18:29:00,WHITE-TNK-4,OFF
10/08/2019,18:29:00,WhtLED_24_6,OFF
10/08/2019,18:35:00,BLUE-TNK-1,RampUp
10/08/2019,18:35:00,BLUE-TNK-2,RampUp
10/08/2019,18:35:00,BLUE-TNK-3,ON
10/08/2019,18:35:00,BLUE-TNK-4,ON
10/08/2019,18:35:00,BluLED_24_5,ON
10/09/2019,06:25:00,BLUE-TNK-1,OFF
10/09/2019,06:25:00,BLUE-TNK-2,OFF
10/09/2019,06:25:00,BLUE-TNK-3,OFF
10/09/2019,06:25:00,BLUE-TNK-4,OFF
10/09/2019,06:25:00,BluLED_24_5,OFF
10/09/2019,06:54:00,WHITE-TNK-1,RampUp
10/09/2019,06:54:00,WHITE-TNK-2,RampUp
10/09/2019,06:54:00,WHITE-TNK-3,ON
10/09/2019,06:54:00,WHITE-TNK-4,ON
10/09/2019,06:54:00,WhtLED_24_6,ON
10/09/2019,13:40:59,LIGHT-TNK-4,OFF
10/09/2019,13:41:20,LIGHT-TNK-4,ON
10/09/2019,13:41:34,LIGHT-TNK-4,OFF
10/09/2019,13:42:10,LIGHT-TNK-4,ON
10/09/2019,14:26:03,SOL-TNK-2,OFF
10/09/2019,14:26:05,LIGHT-TNK-2,OFF
10/09/2019,14:26:21,SOL-TNK-4,OFF
10/09/2019,15:29:52,LIGHT-TNK-4,OFF
10/09/2019,15:29:56,LIGHT-TNK-4,ON
10/09/2019,18:28:00,WHITE-TNK-1,OFF
10/09/2019,18:28:00,WHITE-TNK-2,OFF
10/09/2019,18:28:00,WHITE-TNK-3,OFF
10/09/2019,18:28:00,WHITE-TNK-4,OFF
10/09/2019,18:28:00,WhtLED_24_6,OFF
10/09/2019,19:24:00,BLUE-TNK-1,RampUp
10/09/2019,19:24:00,BLUE-TNK-2,RampUp
10/09/2019,19:24:00,BLUE-TNK-3,ON
10/09/2019,19:24:00,BLUE-TNK-4,ON
10/09/2019,19:24:00,BluLED_24_5,ON
10/10/2019,06:55:00,WHITE-TNK-1,RampUp
10/10/2019,06:55:00,WHITE-TNK-2,RampUp
10/10/2019,06:55:00,WHITE-TNK-3,ON
10/10/2019,06:55:00,WHITE-TNK-4,ON
10/10/2019,06:55:00,WhtLED_24_6,ON
10/10/2019,07:14:00,BLUE-TNK-1,OFF
10/10/2019,07:14:00,BLUE-TNK-2,OFF
10/10/2019,07:14:00,BLUE-TNK-3,OFF
10/10/2019,07:14:00,BLUE-TNK-4,OFF
10/10/2019,07:14:00,BluLED_24_5,OFF
10/10/2019,14:41:56,LIGHT-TNK-4,OFF
10/10/2019,18:27:00,WHITE-TNK-1,OFF
10/10/2019,18:27:00,WHITE-TNK-2,OFF
10/10/2019,18:27:00,WHITE-TNK-3,OFF
10/10/2019,18:27:00,WHITE-TNK-4,OFF
10/10/2019,18:27:00,WhtLED_24_6,OFF
10/10/2019,20:13:00,BLUE-TNK-1,RampUp
10/10/2019,20:13:00,BLUE-TNK-2,RampUp
10/10/2019,20:13:00,BLUE-TNK-3,ON
10/10/2019,20:13:00,BLUE-TNK-4,ON
10/10/2019,20:13:00,BluLED_24_5,ON
10/11/2019,06:56:00,WHITE-TNK-1,RampUp
10/11/2019,06:56:00,WHITE-TNK-2,RampUp
10/11/2019,06:56:00,WHITE-TNK-3,ON
10/11/2019,06:56:00,WHITE-TNK-4,ON
10/11/2019,06:56:00,WhtLED_24_6,ON
10/11/2019,08:03:00,BLUE-TNK-1,OFF
10/11/2019,08:03:00,BLUE-TNK-2,OFF
10/11/2019,08:03:00,BLUE-TNK-3,OFF
10/11/2019,08:03:00,BLUE-TNK-4,OFF
10/11/2019,08:03:00,BluLED_24_5,OFF
10/11/2019,18:26:00,WHITE-TNK-1,OFF
10/11/2019,18:26:00,WHITE-TNK-2,OFF
10/11/2019,18:26:00,WHITE-TNK-3,OFF
10/11/2019,18:26:00,WHITE-TNK-4,OFF
10/11/2019,18:26:00,WhtLED_24_6,OFF
10/11/2019,21:02:00,BLUE-TNK-1,RampUp
10/11/2019,21:02:00,BLUE-TNK-2,RampUp
10/11/2019,21:02:00,BLUE-TNK-3,ON
10/11/2019,21:02:00,BLUE-TNK-4,ON
10/11/2019,21:02:00,BluLED_24_5,ON
10/12/2019,06:56:00,WHITE-TNK-1,RampUp
10/12/2019,06:56:00,WHITE-TNK-2,RampUp
10/12/2019,06:56:00,WHITE-TNK-3,ON
10/12/2019,06:56:00,WHITE-TNK-4,ON
10/12/2019,06:56:00,WhtLED_24_6,ON
10/12/2019,08:51:00,BLUE-TNK-1,OFF
10/12/2019,08:51:00,BLUE-TNK-2,OFF
10/12/2019,08:51:00,BLUE-TNK-3,OFF
10/12/2019,08:51:00,BLUE-TNK-4,OFF
10/12/2019,08:51:00,BluLED_24_5,OFF
10/12/2019,18:24:00,WHITE-TNK-1,OFF
10/12/2019,18:24:00,WHITE-TNK-2,OFF
10/12/2019,18:24:00,WHITE-TNK-3,OFF
10/12/2019,18:24:00,WHITE-TNK-4,OFF
10/12/2019,18:24:00,WhtLED_24_6,OFF
