Date,Time,Name,Status
10/05/2019,03:10:00,BLUE-TNK-17,OFF
10/05/2019,03:10:00,BLUE-TNK-18,OFF
10/05/2019,03:10:00,BLUE-TNK-19,OFF
10/05/2019,03:10:00,BLUE-TNK-20,OFF
10/05/2019,06:51:00,WHITE-TNK-17,RampUp
10/05/2019,06:51:00,WHITE-TNK-18,RampUp
10/05/2019,06:51:00,WHITE-TNK-19,RampUp
10/05/2019,06:51:00,WHITE-TNK-20,RampUp
10/05/2019,16:09:00,BLUE-TNK-17,RampUp
10/05/2019,16:09:00,BLUE-TNK-18,RampUp
10/05/2019,16:09:00,BLUE-TNK-19,RampUp
10/05/2019,16:09:00,BLUE-TNK-20,RampUp
10/05/2019,18:33:00,WHITE-TNK-17,OFF
10/05/2019,18:33:00,WHITE-TNK-18,OFF
10/05/2019,18:33:00,WHITE-TNK-19,OFF
10/05/2019,18:33:00,WHITE-TNK-20,OFF
10/05/2019,20:50:09,SOL-TNK-17,OFF
10/05/2019,20:50:10,SOL-TNK-18,OFF
10/05/2019,20:50:16,SOL-TNK-19,OFF
10/05/2019,20:50:16,SOL-TNK-20,OFF
10/06/2019,03:59:00,BLUE-TNK-17,OFF
10/06/2019,03:59:00,BLUE-TNK-18,OFF
10/06/2019,03:59:00,BLUE-TNK-19,OFF
10/06/2019,03:59:00,BLUE-TNK-20,OFF
10/06/2019,06:52:00,WHITE-TNK-17,RampUp
10/06/2019,06:52:00,WHITE-TNK-18,RampUp
10/06/2019,06:52:00,WHITE-TNK-19,RampUp
10/06/2019,06:52:00,WHITE-TNK-20,RampUp
10/06/2019,16:58:00,BLUE-TNK-17,RampUp
10/06/2019,16:58:00,BLUE-TNK-18,RampUp
10/06/2019,16:58:00,BLUE-TNK-19,RampUp
10/06/2019,16:58:00,BLUE-TNK-20,RampUp
10/06/2019,18:32:00,WHITE-TNK-17,OFF
10/06/2019,18:32:00,WHITE-TNK-18,OFF
10/06/2019,18:32:00,WHITE-TNK-19,OFF
10/06/2019,18:32:00,WHITE-TNK-20,OFF
10/07/2019,04:47:00,BLUE-TNK-17,OFF
10/07/2019,04:47:00,BLUE-TNK-18,OFF
10/07/2019,04:47:00,BLUE-TNK-19,OFF
10/07/2019,04:47:00,BLUE-TNK-20,OFF
10/07/2019,06:52:00,WHITE-TNK-17,RampUp
10/07/2019,06:52:00,WHITE-TNK-18,RampUp
10/07/2019,06:52:00,WHITE-TNK-19,RampUp
10/07/2019,06:52:00,WHITE-TNK-20,RampUp
10/07/2019,16:08:36,SOL-TNK-17,ON
10/07/2019,16:08:36,SOL-TNK-18,ON
10/07/2019,16:08:39,SOL-TNK-19,ON
10/07/2019,16:08:39,SOL-TNK-20,ON
10/07/2019,16:21:48,SOL-TNK-19,OFF
10/07/2019,16:21:48,SOL-TNK-20,OFF
10/07/2019,16:21:51,SOL-TNK-17,OFF
10/07/2019,16:21:52,SOL-TNK-18,OFF
10/07/2019,17:30:00,SOL-TNK-17,ON
10/07/2019,17:30:00,SOL-TNK-19,ON
10/07/2019,17:30:00,SOL-TNK-18,ON
10/07/2019,17:30:00,SOL-TNK-20,ON
10/07/2019,17:46:00,BLUE-TNK-17,RampUp
10/07/2019,17:46:00,BLUE-TNK-18,RampUp
10/07/2019,17:46:00,BLUE-TNK-19,RampUp
10/07/2019,17:46:00,BLUE-TNK-20,RampUp
10/07/2019,18:30:00,WHITE-TNK-17,OFF
