Date,Time,Probe,Type,Value
2020-07-21,00:00:00,Tmp-1,Temp,14.7
2020-07-21,00:00:00,pH-1,pH,7.97
2020-07-21,00:00:00,Salt-1,Cond,45.3
2020-07-21,00:00:00,S2-FM2,Amps,0
2020-07-21,00:00:00,N2-FM2,Amps,0
2020-07-21,00:00:00,D2-FM2,Amps,0
2020-07-21,00:00:00,D2-FLW,Amps,0
2020-07-21,00:00:00,HEATER-3A,Amps,0
2020-07-21,00:00:00,PWRHD-3A,Amps,0
2020-07-21,00:00:00,SOL-TNK-3A,Amps,0
2020-07-21,00:00:00,LIGHT-TNK-3A,Amps,0
2020-07-21,00:00:00,HEATER-1W,pwr,0
2020-07-21,00:00:00,PWRHD-1W,pwr,5
2020-07-21,00:00:00,SOL-TNK-2W,pwr,0
2020-07-21,00:00:00,LIGHT-TNK-1W,pwr,0
2020-07-21,00:00:00,HEATER-3W,pwr,0
2020-07-21,00:00:00,PWRHD-3W,pwr,5
2020-07-21,00:00:00,SOL-TNK-3W,pwr,0
2020-07-21,00:00:00,LIGHT-TNK-3W,pwr,0
2020-07-21,00:00:00,Volt_7,volts,118
2020-07-21,00:00:00,Tmp-3,Temp,19.4
2020-07-21,00:00:00,pH-3,pH,7.82
2020-07-21,00:00:00,S2FLW,gph,0
2020-07-21,00:00:00,N2FLW,gph,21.7
2020-07-21,00:00:00,D2FLW,gph,0
2020-07-21,00:00:00,S1FLW,gph,0
2020-07-21,00:00:00,N1FLW,gph,9.8
2020-07-21,00:00:00,D1FLW,gph,0
2020-07-21,00:00:00,S3FLW,gph,0
2020-07-21,00:00:00,N3FLW,gph,0
2020-07-21,00:00:00,D3FLW,gph,0
2020-07-21,00:00:00,Tmp-2,Temp,14.7
2020-07-21,00:00:00,pH-2,pH,7.97
2020-07-21,00:00:00,Tmp-4,Temp,19.5
2020-07-21,00:00:00,pH-4,pH,7.97
2020-07-21,00:00:00,HEATER-2A,Amps,0
2020-07-21,00:00:00,PWRHD-2A,Amps,0
