Date,Source,MinTemp,MaxTemp,Delta
2020-07-01T07:00:00Z,Hobo-Tmp-1,13.28,15.69,2.41
2020-07-01T07:00:00Z,Hobo-Tmp-2,13.52,16.15,2.629999999999999
2020-07-01T07:00:00Z,Mean.Temp,13.49,15.88,2.3900000000000006
2020-07-02T07:00:00Z,Hobo-Tmp-1,13.63,16.21,2.58
2020-07-02T07:00:00Z,Hobo-Tmp-2,13.81,16.73,2.92
2020-07-02T07:00:00Z,Mean.Temp,13.77,16.46,2.6900000000000013
2020-07-03T07:00:00Z,Hobo-Tmp-1,13.76,15.59,1.83
2020-07-03T07:00:00Z,Hobo-Tmp-2,13.53,16.51,2.980000000000002
2020-07-03T07:00:00Z,Mean.Temp,13.66,16.02,2.3599999999999994
2020-07-04T07:00:00Z,Hobo-Tmp-1,13.88,16.61,2.7299999999999986
2020-07-04T07:00:00Z,Hobo-Tmp-2,13.73,17.42,3.6900000000000013
2020-07-04T07:00:00Z,Mean.Temp,13.89,16.73,2.84
2020-07-05T07:00:00Z,Hobo-Tmp-1,14.17,16.81,2.639999999999999
2020-07-05T07:00:00Z,Hobo-Tmp-2,14.07,17.79,3.719999999999999
2020-07-05T07:00:00Z,Mean.Temp,14.18,17.12,2.9400000000000013
2020-07-06T07:00:00Z,Hobo-Tmp-1,14.87,17.89,3.0200000000000014
2020-07-06T07:00:00Z,Hobo-Tmp-2,14.63,18.73,4.1
2020-07-06T07:00:00Z,Mean.Temp,14.85,17.95,3.0999999999999996
2020-07-07T07:00:00Z,Hobo-Tmp-1,15.07,18.01,2.9400000000000013
2020-07-07T07:00:00Z,Hobo-Tmp-2,15,18.82,3.8200000000000003
2020-07-07T07:00:00Z,Mean.Temp,15.26,18.16,2.9000000000000004
2020-07-08T07:00:00Z,Hobo-Tmp-1,14.35,17.98,3.630000000000001
2020-07-08T07:00:00Z,Hobo-Tmp-2,14.52,18.48,3.960000000000001
2020-07-08T07:00:00Z,Mean.Temp,14.61,18.19,3.580000000000002
2020-07-09T07:00:00Z,Hobo-Tmp-1,14.58,17.58,2.9999999999999982
2020-07-09T07:00:00Z,Hobo-Tmp-2,14.65,17.2,2.549999999999999
2020-07-09T07:00:00Z,Mean.Temp,14.65,16.88,2.2299999999999986
2020-07-10T07:00:00Z,Hobo-Tmp-1,14.12,17.98,3.860000000000001
2020-07-10T07:00:00Z,Hobo-Tmp-2,14.25,18.06,3.8099999999999987
2020-07-10T07:00:00Z,Mean.Temp,14.29,17.87,3.580000000000002
2020-07-11T07:00:00Z,Hobo-Tmp-1,14.09,17.9,3.8099999999999987
2020-07-11T07:00:00Z,Hobo-Tmp-2,14.32,18.32,4
2020-07-11T07:00:00Z,Mean.Temp,14.31,17.82,3.51
