Date,Source,TempF
2019-12-09T16:10:00Z,Hobo-Tmp-2,60.03
2019-12-09T16:10:00Z,Mean.Temp,60.19
2019-12-09T16:20:00Z,Hobo-Tmp-1,60.37
2019-12-09T16:20:00Z,Hobo-Tmp-2,60.01
2019-12-09T16:20:00Z,Mean.Temp,60.19
2019-12-09T16:30:00Z,Hobo-Tmp-1,60.37
2019-12-09T16:30:00Z,Hobo-Tmp-2,59.99
2019-12-09T16:30:00Z,Mean.Temp,60.18
2019-12-09T16:40:00Z,Hobo-Tmp-1,60.41
2019-12-09T16:40:00Z,Hobo-Tmp-2,59.97
2019-12-09T16:40:00Z,Mean.Temp,60.19
2019-12-09T16:50:00Z,Hobo-Tmp-1,60.45
2019-12-09T16:50:00Z,Hobo-Tmp-2,59.93
2019-12-09T16:50:00Z,Mean.Temp,60.19
2019-12-09T17:00:00Z,Hobo-Tmp-1,60.49
2019-12-09T17:00:00Z,Hobo-Tmp-2,59.89
2019-12-09T17:00:00Z,Mean.Temp,60.19
2019-12-09T17:10:00Z,Hobo-Tmp-1,60.59
2019-12-09T17:10:00Z,Hobo-Tmp-2,59.83
2019-12-09T17:10:00Z,Mean.Temp,60.21
2019-12-09T17:20:00Z,Hobo-Tmp-1,60.57
2019-12-09T17:20:00Z,Hobo-Tmp-2,59.79
2019-12-09T17:20:00Z,Mean.Temp,60.18
2019-12-09T17:30:00Z,Hobo-Tmp-1,60.66
2019-12-09T17:30:00Z,Hobo-Tmp-2,59.72
2019-12-09T17:30:00Z,Mean.Temp,60.19
2019-12-09T17:40:00Z,Hobo-Tmp-1,60.7
2019-12-09T17:40:00Z,Hobo-Tmp-2,59.68
2019-12-09T17:40:00Z,Mean.Temp,60.19
2019-12-09T17:50:00Z,Hobo-Tmp-1,60.7
2019-12-09T17:50:00Z,Hobo-Tmp-2,59.54
2019-12-09T17:50:00Z,Mean.Temp,60.120000000000005
2019-12-09T18:00:00Z,Hobo-Tmp-1,60.72
2019-12-09T18:00:00Z,Hobo-Tmp-2,59.49
2019-12-09T18:00:00Z,Mean.Temp,60.105000000000004
2019-12-09T18:10:00Z,Hobo-Tmp-1,60.76
2019-12-09T18:10:00Z,Hobo-Tmp-2,59.37
2019-12-09T18:10:00Z,Mean.Temp,60.065
2019-12-09T18:20:00Z,Hobo-Tmp-1,60.78
2019-12-09T18:20:00Z,Hobo-Tmp-2,59.23
2019-12-09T18:20:00Z,Mean.Temp,60.004999999999995
2019-12-09T18:30:00Z,Hobo-Tmp-1,60.76
2019-12-09T18:30:00Z,Hobo-Tmp-2,59.16
2019-12-09T18:30:00Z,Mean.Temp,59.959999999999994
2019-12-09T18:40:00Z,Hobo-Tmp-1,60.72
2019-12-09T18:40:00Z,Hobo-Tmp-2,59.08
2019-12-09T18:40:00Z,Mean.Temp,59.9
2019-12-09T18:50:00Z,Hobo-Tmp-1,60.8
2019-12-09T18:50:00Z,Hobo-Tmp-2,59
2019-12-09T18:50:00Z,Mean.Temp,59.9
2019-12-09T19:00:00Z,Hobo-Tmp-1,60.76
2019-12-09T19:00:00Z,Hobo-Tmp-2,58.96
2019-12-09T19:00:00Z,Mean.Temp,59.86
2019-12-09T19:10:00Z,Hobo-Tmp-1,60.76
2019-12-09T19:10:00Z,Hobo-Tmp-2,58.93
2019-12-09T19:10:00Z,Mean.Temp,59.845
2019-12-09T19:20:00Z,Hobo-Tmp-1,60.78
2019-12-09T19:20:00Z,Hobo-Tmp-2,58.89
2019-12-09T19:20:00Z,Mean.Temp,59.835
2019-12-09T19:30:00Z,Hobo-Tmp-1,60.78
2019-12-09T19:30:00Z,Hobo-Tmp-2,58.85
2019-12-09T19:30:00Z,Mean.Temp,59.815
2019-12-09T19:40:00Z,Hobo-Tmp-1,60.78
2019-12-09T19:40:00Z,Hobo-Tmp-2,58.79
2019-12-09T19:40:00Z,Mean.Temp,59.785
2019-12-09T19:50:00Z,Hobo-Tmp-1,60.78
2019-12-09T19:50:00Z,Hobo-Tmp-2,58.77
2019-12-09T19:50:00Z,Mean.Temp,59.775000000000006
2019-12-09T20:00:00Z,Hobo-Tmp-1,60.76
2019-12-09T20:00:00Z,Hobo-Tmp-2,58.73
2019-12-09T20:00:00Z,Mean.Temp,59.745
2019-12-09T20:10:00Z,Hobo-Tmp-1,60.78
2019-12-09T20:10:00Z,Hobo-Tmp-2,58.69
2019-12-09T20:10:00Z,Mean.Temp,59.735
2019-12-09T20:20:00Z,Hobo-Tmp-1,60.78
2019-12-09T20:20:00Z,Hobo-Tmp-2,58.66
2019-12-09T20:20:00Z,Mean.Temp,59.72
2019-12-09T20:30:00Z,Hobo-Tmp-1,60.74
2019-12-09T20:30:00Z,Hobo-Tmp-2,58.58
2019-12-09T20:30:00Z,Mean.Temp,59.66
2019-12-09T20:40:00Z,Hobo-Tmp-1,60.7
2019-12-09T20:40:00Z,Hobo-Tmp-2,58.56
2019-12-09T20:40:00Z,Mean.Temp,59.63
2019-12-09T20:50:00Z,Hobo-Tmp-1,60.7
2019-12-09T20:50:00Z,Hobo-Tmp-2,58.5
2019-12-09T20:50:00Z,Mean.Temp,59.6
2019-12-09T21:00:00Z,Hobo-Tmp-1,60.7
2019-12-09T21:00:00Z,Hobo-Tmp-2,58.39
2019-12-09T21:00:00Z,Mean.Temp,59.545
2019-12-09T21:10:00Z,Hobo-Tmp-1,60.72
2019-12-09T21:10:00Z,Hobo-Tmp-2,58.35
2019-12-09T21:10:00Z,Mean.Temp,59.535
2019-12-09T21:20:00Z,Hobo-Tmp-1,60.72
2019-12-09T21:20:00Z,Hobo-Tmp-2,58.25
2019-12-09T21:20:00Z,Mean.Temp,59.485
2019-12-09T21:30:00Z,Hobo-Tmp-1,60.68
2019-12-09T21:30:00Z,Hobo-Tmp-2,58.17
2019-12-09T21:30:00Z,Mean.Temp,59.425
2019-12-09T21:40:00Z,Hobo-Tmp-1,60.7
2019-12-09T21:40:00Z,Hobo-Tmp-2,58.13
2019-12-09T21:40:00Z,Mean.Temp,59.415000000000006
2019-12-09T21:50:00Z,Hobo-Tmp-1,60.64
2019-12-09T21:50:00Z,Hobo-Tmp-2,58.08
2019-12-09T21:50:00Z,Mean.Temp,59.36
2019-12-09T22:00:00Z,Hobo-Tmp-1,60.64
2019-12-09T22:00:00Z,Hobo-Tmp-2,58
2019-12-09T22:00:00Z,Mean.Temp,59.32
2019-12-09T22:10:00Z,Hobo-Tmp-1,60.62
2019-12-09T22:10:00Z,Hobo-Tmp-2,57.94
2019-12-09T22:10:00Z,Mean.Temp,59.28
2019-12-09T22:20:00Z,Hobo-Tmp-1,60.62
2019-12-09T22:20:00Z,Hobo-Tmp-2,57.92
2019-12-09T22:20:00Z,Mean.Temp,59.269999999999996
2019-12-09T22:30:00Z,Hobo-Tmp-1,60.59
2019-12-09T22:30:00Z,Hobo-Tmp-2,57.86
2019-12-09T22:30:00Z,Mean.Temp,59.225
2019-12-09T22:40:00Z,Hobo-Tmp-1,60.61
2019-12-09T22:40:00Z,Hobo-Tmp-2,57.79
2019-12-09T22:40:00Z,Mean.Temp,59.2
2019-12-09T22:50:00Z,Hobo-Tmp-1,60.55
2019-12-09T22:50:00Z,Hobo-Tmp-2,57.67
2019-12-09T22:50:00Z,Mean.Temp,59.11
2019-12-09T23:00:00Z,Hobo-Tmp-1,60.61
2019-12-09T23:00:00Z,Hobo-Tmp-2,57.65
2019-12-09T23:00:00Z,Mean.Temp,59.129999999999995
2019-12-09T23:10:00Z,Hobo-Tmp-1,60.55
2019-12-09T23:10:00Z,Hobo-Tmp-2,57.59
2019-12-09T23:10:00Z,Mean.Temp,59.07
2019-12-09T23:20:00Z,Hobo-Tmp-1,60.55
2019-12-09T23:20:00Z,Hobo-Tmp-2,57.56
2019-12-09T23:20:00Z,Mean.Temp,59.055
2019-12-09T23:30:00Z,Hobo-Tmp-1,60.55
2019-12-09T23:30:00Z,Hobo-Tmp-2,57.54
2019-12-09T23:30:00Z,Mean.Temp,59.045
2019-12-09T23:40:00Z,Hobo-Tmp-1,60.53
2019-12-09T23:40:00Z,Hobo-Tmp-2,57.54
2019-12-09T23:40:00Z,Mean.Temp,59.035
2019-12-09T23:50:00Z,Hobo-Tmp-1,60.55
2019-12-09T23:50:00Z,Hobo-Tmp-2,57.54
2019-12-09T23:50:00Z,Mean.Temp,59.045
2019-12-10T00:00:00Z,Hobo-Tmp-1,60.53
2019-12-10T00:00:00Z,Hobo-Tmp-2,57.56
2019-12-10T00:00:00Z,Mean.Temp,59.045
2019-12-10T00:10:00Z,Hobo-Tmp-1,60.55
2019-12-10T00:10:00Z,Hobo-Tmp-2,57.56
2019-12-10T00:10:00Z,Mean.Temp,59.055
2019-12-10T00:20:00Z,Hobo-Tmp-1,60.53
2019-12-10T00:20:00Z,Hobo-Tmp-2,57.59
2019-12-10T00:20:00Z,Mean.Temp,59.06
2019-12-10T00:30:00Z,Hobo-Tmp-1,60.51
2019-12-10T00:30:00Z,Hobo-Tmp-2,57.54
2019-12-10T00:30:00Z,Mean.Temp,59.025
2019-12-10T00:40:00Z,Hobo-Tmp-1,60.55
2019-12-10T00:40:00Z,Hobo-Tmp-2,57.54
2019-12-10T00:40:00Z,Mean.Temp,59.045
2019-12-10T00:50:00Z,Hobo-Tmp-1,60.53
2019-12-10T00:50:00Z,Hobo-Tmp-2,57.61
2019-12-10T00:50:00Z,Mean.Temp,59.07
2019-12-10T01:00:00Z,Hobo-Tmp-1,60.55
2019-12-10T01:00:00Z,Hobo-Tmp-2,57.63
2019-12-10T01:00:00Z,Mean.Temp,59.09
2019-12-10T01:10:00Z,Hobo-Tmp-1,60.49
2019-12-10T01:10:00Z,Hobo-Tmp-2,57.63
2019-12-10T01:10:00Z,Mean.Temp,59.06
2019-12-10T01:20:00Z,Hobo-Tmp-1,60.53
2019-12-10T01:20:00Z,Hobo-Tmp-2,57.65
2019-12-10T01:20:00Z,Mean.Temp,59.09
2019-12-10T01:30:00Z,Hobo-Tmp-1,60.47
2019-12-10T01:30:00Z,Hobo-Tmp-2,57.65
2019-12-10T01:30:00Z,Mean.Temp,59.06
2019-12-10T01:40:00Z,Hobo-Tmp-1,60.39
2019-12-10T01:40:00Z,Hobo-Tmp-2,57.65
2019-12-10T01:40:00Z,Mean.Temp,59.019999999999996
2019-12-10T01:50:00Z,Hobo-Tmp-1,60.37
2019-12-10T01:50:00Z,Hobo-Tmp-2,57.65
2019-12-10T01:50:00Z,Mean.Temp,59.01
2019-12-10T02:00:00Z,Hobo-Tmp-1,60.34
2019-12-10T02:00:00Z,Hobo-Tmp-2,57.69
2019-12-10T02:00:00Z,Mean.Temp,59.015
2019-12-10T02:10:00Z,Hobo-Tmp-1,60.32
2019-12-10T02:10:00Z,Hobo-Tmp-2,57.67
2019-12-10T02:10:00Z,Mean.Temp,58.995000000000005
2019-12-10T02:20:00Z,Hobo-Tmp-1,60.3
2019-12-10T02:20:00Z,Hobo-Tmp-2,57.63
2019-12-10T02:20:00Z,Mean.Temp,58.965
2019-12-10T02:30:00Z,Hobo-Tmp-1,60.3
2019-12-10T02:30:00Z,Hobo-Tmp-2,57.69
2019-12-10T02:30:00Z,Mean.Temp,58.995
2019-12-10T02:40:00Z,Hobo-Tmp-1,60.32
2019-12-10T02:40:00Z,Hobo-Tmp-2,57.65
2019-12-10T02:40:00Z,Mean.Temp,58.985
2019-12-10T02:50:00Z,Hobo-Tmp-1,60.28
2019-12-10T02:50:00Z,Hobo-Tmp-2,57.65
2019-12-10T02:50:00Z,Mean.Temp,58.965
2019-12-10T03:00:00Z,Hobo-Tmp-1,60.34
2019-12-10T03:00:00Z,Hobo-Tmp-2,57.69
2019-12-10T03:00:00Z,Mean.Temp,59.015
2019-12-10T03:10:00Z,Hobo-Tmp-1,60.26
2019-12-10T03:10:00Z,Hobo-Tmp-2,57.71
2019-12-10T03:10:00Z,Mean.Temp,58.985
2019-12-10T03:20:00Z,Hobo-Tmp-1,60.28
2019-12-10T03:20:00Z,Hobo-Tmp-2,57.69
2019-12-10T03:20:00Z,Mean.Temp,58.985
2019-12-10T03:30:00Z,Hobo-Tmp-1,60.28
2019-12-10T03:30:00Z,Hobo-Tmp-2,57.63
2019-12-10T03:30:00Z,Mean.Temp,58.955
2019-12-10T03:40:00Z,Hobo-Tmp-1,60.24
2019-12-10T03:40:00Z,Hobo-Tmp-2,57.59
2019-12-10T03:40:00Z,Mean.Temp,58.915000000000006
2019-12-10T03:50:00Z,Hobo-Tmp-1,60.26
2019-12-10T03:50:00Z,Hobo-Tmp-2,57.56
2019-12-10T03:50:00Z,Mean.Temp,58.91
2019-12-10T04:00:00Z,Hobo-Tmp-1,60.26
2019-12-10T04:00:00Z,Hobo-Tmp-2,57.54
2019-12-10T04:00:00Z,Mean.Temp,58.9
2019-12-10T04:10:00Z,Hobo-Tmp-1,60.22
2019-12-10T04:10:00Z,Hobo-Tmp-2,57.56
2019-12-10T04:10:00Z,Mean.Temp,58.89
2019-12-10T04:20:00Z,Hobo-Tmp-1,60.28
2019-12-10T04:20:00Z,Hobo-Tmp-2,57.54
2019-12-10T04:20:00Z,Mean.Temp,58.91
2019-12-10T04:30:00Z,Hobo-Tmp-1,60.3
2019-12-10T04:30:00Z,Hobo-Tmp-2,57.52
2019-12-10T04:30:00Z,Mean.Temp,58.91
2019-12-10T04:40:00Z,Hobo-Tmp-1,60.3
2019-12-10T04:40:00Z,Hobo-Tmp-2,57.56
2019-12-10T04:40:00Z,Mean.Temp,58.93
2019-12-10T04:50:00Z,Hobo-Tmp-1,60.3
2019-12-10T04:50:00Z,Hobo-Tmp-2,57.5
2019-12-10T04:50:00Z,Mean.Temp,58.9
2019-12-10T05:00:00Z,Hobo-Tmp-1,60.34
2019-12-10T05:00:00Z,Hobo-Tmp-2,57.48
2019-12-10T05:00:00Z,Mean.Temp,58.91
2019-12-10T05:10:00Z,Hobo-Tmp-1,60.34
2019-12-10T05:10:00Z,Hobo-Tmp-2,57.48
2019-12-10T05:10:00Z,Mean.Temp,58.91
2019-12-10T05:20:00Z,Hobo-Tmp-1,60.32
2019-12-10T05:20:00Z,Hobo-Tmp-2,57.48
2019-12-10T05:20:00Z,Mean.Temp,58.9
2019-12-10T05:30:00Z,Hobo-Tmp-1,60.26
2019-12-10T05:30:00Z,Hobo-Tmp-2,57.5
2019-12-10T05:30:00Z,Mean.Temp,58.879999999999995
2019-12-10T05:40:00Z,Hobo-Tmp-1,60.24
2019-12-10T05:40:00Z,Hobo-Tmp-2,57.46
2019-12-10T05:40:00Z,Mean.Temp,58.85
2019-12-10T05:50:00Z,Hobo-Tmp-1,60.24
2019-12-10T05:50:00Z,Hobo-Tmp-2,57.5
2019-12-10T05:50:00Z,Mean.Temp,58.870000000000005
2019-12-10T06:00:00Z,Hobo-Tmp-1,60.16
2019-12-10T06:00:00Z,Hobo-Tmp-2,57.54
2019-12-10T06:00:00Z,Mean.Temp,58.849999999999994
2019-12-10T06:10:00Z,Hobo-Tmp-1,60.22
2019-12-10T06:10:00Z,Hobo-Tmp-2,57.59
2019-12-10T06:10:00Z,Mean.Temp,58.905
2019-12-10T06:20:00Z,Hobo-Tmp-1,60.22
2019-12-10T06:20:00Z,Hobo-Tmp-2,57.61
2019-12-10T06:20:00Z,Mean.Temp,58.915
2019-12-10T06:30:00Z,Hobo-Tmp-1,60.2
2019-12-10T06:30:00Z,Hobo-Tmp-2,57.61
2019-12-10T06:30:00Z,Mean.Temp,58.905
2019-12-10T06:40:00Z,Hobo-Tmp-1,60.24
2019-12-10T06:40:00Z,Hobo-Tmp-2,57.63
2019-12-10T06:40:00Z,Mean.Temp,58.935
2019-12-10T06:50:00Z,Hobo-Tmp-1,60.2
2019-12-10T06:50:00Z,Hobo-Tmp-2,57.61
2019-12-10T06:50:00Z,Mean.Temp,58.905
2019-12-10T07:00:00Z,Hobo-Tmp-1,60.24
2019-12-10T07:00:00Z,Hobo-Tmp-2,57.67
2019-12-10T07:00:00Z,Mean.Temp,58.955
2019-12-10T07:10:00Z,Hobo-Tmp-1,60.26
2019-12-10T07:10:00Z,Hobo-Tmp-2,57.73
2019-12-10T07:10:00Z,Mean.Temp,58.995
2019-12-10T07:20:00Z,Hobo-Tmp-1,60.24
2019-12-10T07:20:00Z,Hobo-Tmp-2,57.77
2019-12-10T07:20:00Z,Mean.Temp,59.005
2019-12-10T07:30:00Z,Hobo-Tmp-1,60.24
