Date,Time,Name,Status
10/07/2019,09:54:41,SOL-TNK-13,OFF
10/07/2019,09:54:41,SOL-TNK-14,OFF
10/07/2019,09:54:41,SOL-TNK-15,OFF
10/07/2019,09:54:42,SOL-TNK-16,OFF
10/14/2019,12:00:00,SOL-TNK-13,ON
10/14/2019,12:00:00,SOL-TNK-15,ON
10/14/2019,12:00:00,SOL-TNK-14,ON
10/14/2019,12:00:00,SOL-TNK-16,ON
10/14/2019,18:15:00,SOL-TNK-13,OFF
10/14/2019,18:15:00,SOL-TNK-15,OFF
10/14/2019,18:15:00,SOL-TNK-14,OFF
10/14/2019,18:15:00,SOL-TNK-16,OFF
10/15/2019,00:30:00,SOL-TNK-13,ON
10/15/2019,00:30:00,SOL-TNK-15,ON
10/15/2019,00:30:00,SOL-TNK-14,ON
10/15/2019,00:30:00,SOL-TNK-16,ON
10/15/2019,06:45:00,SOL-TNK-13,OFF
10/15/2019,06:45:00,SOL-TNK-15,OFF
10/15/2019,06:45:00,SOL-TNK-14,OFF
10/15/2019,06:45:00,SOL-TNK-16,OFF
10/15/2019,13:00:00,SOL-TNK-13,ON
10/15/2019,13:00:00,SOL-TNK-15,ON
10/15/2019,13:00:00,SOL-TNK-14,ON
10/15/2019,13:00:00,SOL-TNK-16,ON
10/15/2019,19:15:00,SOL-TNK-13,OFF
10/15/2019,19:15:00,SOL-TNK-15,OFF
10/15/2019,19:15:00,SOL-TNK-14,OFF
10/15/2019,19:15:00,SOL-TNK-16,OFF
10/16/2019,01:30:00,SOL-TNK-13,ON
10/16/2019,01:30:00,SOL-TNK-15,ON
10/16/2019,01:30:00,SOL-TNK-14,ON
10/16/2019,01:30:00,SOL-TNK-16,ON
10/16/2019,07:45:00,SOL-TNK-13,OFF
10/16/2019,07:45:00,SOL-TNK-15,OFF
10/16/2019,07:45:00,SOL-TNK-14,OFF
10/16/2019,07:45:00,SOL-TNK-16,OFF
10/16/2019,14:00:00,SOL-TNK-13,ON
10/16/2019,14:00:00,SOL-TNK-15,ON
10/16/2019,14:00:00,SOL-TNK-14,ON
10/16/2019,14:00:00,SOL-TNK-16,ON
10/16/2019,20:15:00,SOL-TNK-13,OFF
10/16/2019,20:15:00,SOL-TNK-15,OFF
10/16/2019,20:15:00,SOL-TNK-14,OFF
10/16/2019,20:15:00,SOL-TNK-16,OFF
10/17/2019,02:30:00,SOL-TNK-13,ON
10/17/2019,02:30:00,SOL-TNK-15,ON
10/17/2019,02:30:00,SOL-TNK-14,ON
10/17/2019,02:30:00,SOL-TNK-16,ON
10/17/2019,08:45:00,SOL-TNK-13,OFF
10/17/2019,08:45:00,SOL-TNK-15,OFF
10/17/2019,08:45:00,SOL-TNK-14,OFF
10/17/2019,08:45:00,SOL-TNK-16,OFF
10/17/2019,13:25:13,WHITE-TNK-13,RampUp
10/17/2019,13:25:14,WHITE-TNK-14,RampUp
10/17/2019,13:25:19,WHITE-TNK-15,RampUp
10/17/2019,13:25:20,WHITE-TNK-16,RampUp
10/17/2019,15:00:00,SOL-TNK-13,ON
10/17/2019,15:00:00,SOL-TNK-15,ON
10/17/2019,15:00:00,SOL-TNK-14,ON
10/17/2019,15:00:00,SOL-TNK-16,ON
10/17/2019,18:18:00,WHITE-TNK-13,OFF
10/17/2019,18:18:00,WHITE-TNK-14,OFF
10/17/2019,18:18:00,WHITE-TNK-15,OFF
10/17/2019,18:18:00,WHITE-TNK-16,OFF
10/17/2019,21:15:00,SOL-TNK-13,OFF
10/17/2019,21:15:00,SOL-TNK-15,OFF
10/17/2019,21:15:00,SOL-TNK-14,OFF
10/17/2019,21:15:00,SOL-TNK-16,OFF
10/18/2019,02:43:00,BLUE-TNK-13,RampUp
10/18/2019,02:43:00,BLUE-TNK-14,RampUp
10/18/2019,02:43:00,BLUE-TNK-15,RampUp
10/18/2019,02:43:00,BLUE-TNK-16,RampUp
10/18/2019,03:30:00,SOL-TNK-13,ON
10/18/2019,03:30:00,SOL-TNK-15,ON
10/18/2019,03:30:00,SOL-TNK-14,ON
10/18/2019,03:30:00,SOL-TNK-16,ON
10/18/2019,07:01:00,WHITE-TNK-13,RampUp
10/18/2019,07:01:00,WHITE-TNK-14,RampUp
10/18/2019,07:01:00,WHITE-TNK-15,RampUp
10/18/2019,07:01:00,WHITE-TNK-16,RampUp
10/18/2019,09:45:00,SOL-TNK-13,OFF
10/18/2019,09:45:00,SOL-TNK-15,OFF
10/18/2019,09:45:00,SOL-TNK-14,OFF
10/18/2019,09:45:00,SOL-TNK-16,OFF
10/18/2019,13:44:00,BLUE-TNK-13,OFF
10/18/2019,13:44:00,BLUE-TNK-14,OFF
10/18/2019,13:44:00,BLUE-TNK-15,OFF
10/18/2019,13:44:00,BLUE-TNK-16,OFF
10/18/2019,16:00:00,SOL-TNK-13,ON
10/18/2019,16:00:00,SOL-TNK-15,ON
10/18/2019,16:00:00,SOL-TNK-14,ON
10/18/2019,16:00:00,SOL-TNK-16,ON
10/18/2019,18:17:00,WHITE-TNK-13,OFF
10/18/2019,18:17:00,WHITE-TNK-14,OFF
10/18/2019,18:17:00,WHITE-TNK-15,OFF
10/18/2019,18:17:00,WHITE-TNK-16,OFF
10/18/2019,22:15:00,SOL-TNK-13,OFF
10/18/2019,22:15:00,SOL-TNK-15,OFF
10/18/2019,22:15:00,SOL-TNK-14,OFF
10/18/2019,22:15:00,SOL-TNK-16,OFF
10/19/2019,03:32:00,BLUE-TNK-13,RampUp
10/19/2019,03:32:00,BLUE-TNK-14,RampUp
10/19/2019,03:32:00,BLUE-TNK-15,RampUp
10/19/2019,03:32:00,BLUE-TNK-16,RampUp
10/19/2019,04:30:00,SOL-TNK-13,ON
10/19/2019,04:30:00,SOL-TNK-15,ON
10/19/2019,04:30:00,SOL-TNK-14,ON
10/19/2019,04:30:00,SOL-TNK-16,ON
10/19/2019,07:02:00,WHITE-TNK-13,RampUp
10/19/2019,07:02:00,WHITE-TNK-14,RampUp
10/19/2019,07:02:00,WHITE-TNK-15,RampUp
10/19/2019,07:02:00,WHITE-TNK-16,RampUp
10/19/2019,10:45:00,SOL-TNK-13,OFF
10/19/2019,10:45:00,SOL-TNK-15,OFF
10/19/2019,10:45:00,SOL-TNK-14,OFF
10/19/2019,10:45:00,SOL-TNK-16,OFF
10/19/2019,14:33:00,BLUE-TNK-13,OFF
10/19/2019,14:33:00,BLUE-TNK-14,OFF
10/19/2019,14:33:00,BLUE-TNK-15,OFF
10/19/2019,14:33:00,BLUE-TNK-16,OFF
10/19/2019,17:00:00,SOL-TNK-13,ON
10/19/2019,17:00:00,SOL-TNK-15,ON
10/19/2019,17:00:00,SOL-TNK-14,ON
10/19/2019,17:00:00,SOL-TNK-16,ON
10/19/2019,18:16:00,WHITE-TNK-13,OFF
10/19/2019,18:16:00,WHITE-TNK-14,OFF
10/19/2019,18:16:00,WHITE-TNK-15,OFF
10/19/2019,18:16:00,WHITE-TNK-16,OFF
10/19/2019,23:15:00,SOL-TNK-13,OFF
10/19/2019,23:15:00,SOL-TNK-15,OFF
10/19/2019,23:15:00,SOL-TNK-14,OFF
10/19/2019,23:15:00,SOL-TNK-16,OFF
10/20/2019,04:21:00,BLUE-TNK-13,RampUp
10/20/2019,04:21:00,BLUE-TNK-14,RampUp
10/20/2019,04:21:00,BLUE-TNK-15,RampUp
10/20/2019,04:21:00,BLUE-TNK-16,RampUp
10/20/2019,05:30:00,SOL-TNK-13,ON
10/20/2019,05:30:00,SOL-TNK-15,ON
10/20/2019,05:30:00,SOL-TNK-14,ON
10/20/2019,05:30:00,SOL-TNK-16,ON
10/20/2019,07:03:00,WHITE-TNK-13,RampUp
10/20/2019,07:03:00,WHITE-TNK-14,RampUp
10/20/2019,07:03:00,WHITE-TNK-15,RampUp
10/20/2019,07:03:00,WHITE-TNK-16,RampUp
10/20/2019,11:45:00,SOL-TNK-13,OFF
10/20/2019,11:45:00,SOL-TNK-15,OFF
10/20/2019,11:45:00,SOL-TNK-14,OFF
10/20/2019,11:45:00,SOL-TNK-16,OFF
10/20/2019,15:22:00,BLUE-TNK-13,OFF
10/20/2019,15:22:00,BLUE-TNK-14,OFF
10/20/2019,15:22:00,BLUE-TNK-15,OFF
10/20/2019,15:22:00,BLUE-TNK-16,OFF
10/20/2019,18:00:00,SOL-TNK-13,ON
10/20/2019,18:00:00,SOL-TNK-15,ON
10/20/2019,18:00:00,SOL-TNK-14,ON
10/20/2019,18:00:00,SOL-TNK-16,ON
10/20/2019,18:15:00,WHITE-TNK-13,OFF
10/20/2019,18:15:00,WHITE-TNK-14,OFF
10/20/2019,18:15:00,WHITE-TNK-15,OFF
10/20/2019,18:15:00,WHITE-TNK-16,OFF
10/21/2019,00:15:00,SOL-TNK-13,OFF
10/21/2019,00:15:00,SOL-TNK-15,OFF
10/21/2019,00:15:00,SOL-TNK-14,OFF
10/21/2019,00:15:00,SOL-TNK-16,OFF
10/21/2019,05:10:00,BLUE-TNK-13,RampUp
10/21/2019,05:10:00,BLUE-TNK-14,RampUp
10/21/2019,05:10:00,BLUE-TNK-15,RampUp
10/21/2019,05:10:00,BLUE-TNK-16,RampUp
10/21/2019,06:30:00,SOL-TNK-13,ON
10/21/2019,06:30:00,SOL-TNK-15,ON
10/21/2019,06:30:00,SOL-TNK-14,ON
10/21/2019,06:30:00,SOL-TNK-16,ON
10/21/2019,07:04:00,WHITE-TNK-13,RampUp
10/21/2019,07:04:00,WHITE-TNK-14,RampUp
10/21/2019,07:04:00,WHITE-TNK-15,RampUp
10/21/2019,07:04:00,WHITE-TNK-16,RampUp
10/21/2019,12:45:00,SOL-TNK-13,OFF
10/21/2019,12:45:00,SOL-TNK-15,OFF
10/21/2019,12:45:00,SOL-TNK-14,OFF
10/21/2019,12:45:00,SOL-TNK-16,OFF
10/21/2019,13:49:07,SOL-TNK-16,ON
10/21/2019,13:49:07,SOL-TNK-15,ON
10/21/2019,13:49:11,SOL-TNK-13,ON
10/21/2019,13:49:12,SOL-TNK-14,ON
10/21/2019,16:11:00,BLUE-TNK-13,OFF
10/21/2019,16:11:00,BLUE-TNK-14,OFF
10/21/2019,16:11:00,BLUE-TNK-15,OFF
10/21/2019,16:11:00,BLUE-TNK-16,OFF
10/21/2019,18:14:00,WHITE-TNK-13,OFF
10/21/2019,18:14:00,WHITE-TNK-14,OFF
10/21/2019,18:14:00,WHITE-TNK-15,OFF
10/21/2019,18:14:00,WHITE-TNK-16,OFF
10/22/2019,05:58:00,BLUE-TNK-13,RampUp
10/22/2019,05:58:00,BLUE-TNK-14,RampUp
10/22/2019,05:58:00,BLUE-TNK-15,RampUp
10/22/2019,05:58:00,BLUE-TNK-16,RampUp
10/22/2019,07:04:00,WHITE-TNK-13,RampUp
10/22/2019,07:04:00,WHITE-TNK-14,RampUp
10/22/2019,07:04:00,WHITE-TNK-15,RampUp
10/22/2019,07:04:00,WHITE-TNK-16,RampUp
10/22/2019,11:46:21,WHITE-TNK-13,RampUp
10/22/2019,11:46:21,BLUE-TNK-13,RampUp
10/22/2019,11:46:21,WHITE-TNK-14,RampUp
10/22/2019,11:46:21,BLUE-TNK-14,RampUp
10/22/2019,11:46:21,SOL-TNK-13,ON
10/22/2019,11:46:21,SOL-TNK-15,ON
10/22/2019,11:46:21,SOL-TNK-14,ON
10/22/2019,11:46:21,SOL-TNK-16,ON
10/22/2019,11:46:21,WHITE-TNK-15,RampUp
10/22/2019,11:46:21,BLUE-TNK-15,RampUp
10/22/2019,11:46:21,WHITE-TNK-16,RampUp
10/22/2019,11:46:21,BLUE-TNK-16,RampUp
10/22/2019,11:57:51,WHITE-TNK-13,RampUp
10/22/2019,11:57:51,BLUE-TNK-13,RampUp
10/22/2019,11:57:51,WHITE-TNK-14,RampUp
10/22/2019,11:57:51,BLUE-TNK-14,RampUp
10/22/2019,11:57:51,SOL-TNK-13,ON
10/22/2019,11:57:51,SOL-TNK-15,ON
10/22/2019,11:57:51,SOL-TNK-14,ON
10/22/2019,11:57:51,SOL-TNK-16,ON
10/22/2019,11:57:51,WHITE-TNK-15,RampUp
10/22/2019,11:57:51,BLUE-TNK-15,RampUp
10/22/2019,11:57:51,WHITE-TNK-16,RampUp
10/22/2019,11:57:51,BLUE-TNK-16,RampUp
10/22/2019,16:59:00,BLUE-TNK-13,OFF
10/22/2019,16:59:00,BLUE-TNK-14,OFF
10/22/2019,16:59:00,BLUE-TNK-15,OFF
10/22/2019,16:59:00,BLUE-TNK-16,OFF
10/22/2019,18:12:00,WHITE-TNK-13,OFF
10/22/2019,18:12:00,WHITE-TNK-14,OFF
10/22/2019,18:12:00,WHITE-TNK-15,OFF
10/22/2019,18:12:00,WHITE-TNK-16,OFF
10/23/2019,06:47:00,BLUE-TNK-13,RampUp
10/23/2019,06:47:00,BLUE-TNK-14,RampUp
10/23/2019,06:47:00,BLUE-TNK-15,RampUp
10/23/2019,06:47:00,BLUE-TNK-16,RampUp
10/23/2019,07:05:00,WHITE-TNK-13,RampUp
10/23/2019,07:05:00,WHITE-TNK-14,RampUp
10/23/2019,07:05:00,WHITE-TNK-15,RampUp
10/23/2019,07:05:00,WHITE-TNK-16,RampUp
10/23/2019,13:28:24,SOL-TNK-15,OFF
10/23/2019,13:28:24,SOL-TNK-16,OFF
10/23/2019,13:30:22,SOL-TNK-13,OFF
10/23/2019,13:30:23,SOL-TNK-14,OFF
10/23/2019,17:48:00,BLUE-TNK-13,OFF
10/23/2019,17:48:00,BLUE-TNK-14,OFF
10/23/2019,17:48:00,BLUE-TNK-15,OFF
10/23/2019,17:48:00,BLUE-TNK-16,OFF
10/23/2019,18:11:00,WHITE-TNK-13,OFF
10/23/2019,18:11:00,WHITE-TNK-14,OFF
10/23/2019,18:11:00,WHITE-TNK-15,OFF
10/23/2019,18:11:00,WHITE-TNK-16,OFF
10/24/2019,07:06:00,WHITE-TNK-13,RampUp
10/24/2019,07:06:00,WHITE-TNK-14,RampUp
10/24/2019,07:06:00,WHITE-TNK-15,RampUp
10/24/2019,07:06:00,WHITE-TNK-16,RampUp
10/24/2019,07:36:00,BLUE-TNK-13,RampUp
10/24/2019,07:36:00,BLUE-TNK-14,RampUp
10/24/2019,07:36:00,BLUE-TNK-15,RampUp
10/24/2019,07:36:00,BLUE-TNK-16,RampUp
10/24/2019,18:10:00,WHITE-TNK-13,OFF
10/24/2019,18:10:00,WHITE-TNK-14,OFF
10/24/2019,18:10:00,WHITE-TNK-15,OFF
10/24/2019,18:10:00,WHITE-TNK-16,OFF
10/24/2019,18:37:00,BLUE-TNK-13,OFF
10/24/2019,18:37:00,BLUE-TNK-14,OFF
10/24/2019,18:37:00,BLUE-TNK-15,OFF
10/24/2019,18:37:00,BLUE-TNK-16,OFF
10/25/2019,07:07:00,WHITE-TNK-13,RampUp
10/25/2019,07:07:00,WHITE-TNK-14,RampUp
10/25/2019,07:07:00,WHITE-TNK-15,RampUp
10/25/2019,07:07:00,WHITE-TNK-16,RampUp
10/25/2019,08:25:00,BLUE-TNK-13,RampUp
10/25/2019,08:25:00,BLUE-TNK-14,RampUp
10/25/2019,08:25:00,BLUE-TNK-15,RampUp
10/25/2019,08:25:00,BLUE-TNK-16,RampUp
10/25/2019,18:09:00,WHITE-TNK-13,OFF
10/25/2019,18:09:00,WHITE-TNK-14,OFF
10/25/2019,18:09:00,WHITE-TNK-15,OFF
10/25/2019,18:09:00,WHITE-TNK-16,OFF
10/25/2019,19:26:00,BLUE-TNK-13,OFF
10/25/2019,19:26:00,BLUE-TNK-14,OFF
10/25/2019,19:26:00,BLUE-TNK-15,OFF
10/25/2019,19:26:00,BLUE-TNK-16,OFF
10/26/2019,07:08:00,WHITE-TNK-13,RampUp
10/26/2019,07:08:00,WHITE-TNK-14,RampUp
10/26/2019,07:08:00,WHITE-TNK-15,RampUp
10/26/2019,07:08:00,WHITE-TNK-16,RampUp
10/26/2019,09:14:00,BLUE-TNK-13,RampUp
10/26/2019,09:14:00,BLUE-TNK-14,RampUp
10/26/2019,09:14:00,BLUE-TNK-15,RampUp
10/26/2019,09:14:00,BLUE-TNK-16,RampUp
10/26/2019,18:08:00,WHITE-TNK-13,OFF
10/26/2019,18:08:00,WHITE-TNK-14,OFF
10/26/2019,18:08:00,WHITE-TNK-15,OFF
10/26/2019,18:08:00,WHITE-TNK-16,OFF
10/26/2019,20:15:00,BLUE-TNK-13,OFF
10/26/2019,20:15:00,BLUE-TNK-14,OFF
10/26/2019,20:15:00,BLUE-TNK-15,OFF
10/26/2019,20:15:00,BLUE-TNK-16,OFF
10/27/2019,07:08:00,WHITE-TNK-13,RampUp
10/27/2019,07:08:00,WHITE-TNK-14,RampUp
10/27/2019,07:08:00,WHITE-TNK-15,RampUp
10/27/2019,07:08:00,WHITE-TNK-16,RampUp
10/27/2019,10:02:00,BLUE-TNK-13,RampUp
10/27/2019,10:02:00,BLUE-TNK-14,RampUp
10/27/2019,10:02:00,BLUE-TNK-15,RampUp
10/27/2019,10:02:00,BLUE-TNK-16,RampUp
10/27/2019,18:06:00,WHITE-TNK-13,OFF
10/27/2019,18:06:00,WHITE-TNK-14,OFF
10/27/2019,18:06:00,WHITE-TNK-15,OFF
10/27/2019,18:06:00,WHITE-TNK-16,OFF
10/27/2019,21:03:00,BLUE-TNK-13,OFF
10/27/2019,21:03:00,BLUE-TNK-14,OFF
10/27/2019,21:03:00,BLUE-TNK-15,OFF
10/27/2019,21:03:00,BLUE-TNK-16,OFF
10/28/2019,07:09:00,WHITE-TNK-13,RampUp
10/28/2019,07:09:00,WHITE-TNK-14,RampUp
10/28/2019,07:09:00,WHITE-TNK-15,RampUp
10/28/2019,07:09:00,WHITE-TNK-16,RampUp
