Serial Number:20565259 --

"Date Time, GMT -0700","Temp, (*C)","Button Down","Button Up","Host Connect","EOF"
2020-07-23 12:50:00,15.60, , , , 
2020-07-23 13:00:00,15.57, , , , 
2020-07-23 13:10:00,15.59, , , , 
2020-07-23 13:20:00,15.54, , , , 
2020-07-23 13:30:00,15.52, , , , 
2020-07-23 13:40:00,15.54, , , , 
2020-07-23 13:50:00,15.53, , , , 
2020-07-23 14:00:00,15.53, , , , 
2020-07-23 14:10:00,15.55, , , , 
2020-07-23 14:20:00,15.55, , , , 
2020-07-23 14:30:00,15.55, , , , 
2020-07-23 14:40:00,15.53, , , , 
2020-07-23 14:50:00,15.53, , , , 
2020-07-23 15:00:00,15.53, , , , 
2020-07-23 15:10:00,15.54, , , , 
2020-07-23 15:20:00,15.54, , , , 
2020-07-23 15:30:00,15.56, , , , 
2020-07-23 15:40:00,15.55, , , , 
2020-07-23 15:50:00,15.55, , , , 
2020-07-23 16:00:00,15.56, , , , 
2020-07-23 16:10:00,15.56, , , , 
2020-07-23 16:20:00,15.57, , , , 
2020-07-23 16:30:00,15.82, , , , 
2020-07-23 16:40:00,16.14, , , , 
2020-07-23 16:50:00,16.46, , , , 
2020-07-23 17:00:00,16.76, , , , 
2020-07-23 17:10:00,17.06, , , , 
2020-07-23 17:20:00,17.34, , , , 
2020-07-23 17:30:00,17.58, , , , 
2020-07-23 17:40:00,17.75, , , , 
2020-07-23 17:50:00,17.83, , , , 
2020-07-23 18:00:00,17.88, , , , 
2020-07-23 18:10:00,17.84, , , , 
2020-07-23 18:20:00,17.82, , , , 
2020-07-23 18:30:00,17.80, , , , 
2020-07-23 18:40:00,17.80, , , , 
2020-07-23 18:50:00,17.82, , , , 
2020-07-23 19:00:00,17.82, , , , 
2020-07-23 19:10:00,17.80, , , , 
2020-07-23 19:20:00,17.80, , , , 
2020-07-23 19:30:00,17.80, , , , 
2020-07-23 19:40:00,17.79, , , , 
2020-07-23 19:50:00,17.81, , , , 
2020-07-23 20:00:00,17.82, , , , 
2020-07-23 20:10:00,17.84, , , , 
2020-07-23 20:20:00,17.80, , , , 
2020-07-23 20:30:00,17.78, , , , 
2020-07-23 20:40:00,17.84, , , , 
2020-07-23 20:50:00,17.84, , , , 
2020-07-23 21:00:00,17.81, , , , 
2020-07-23 21:10:00,17.81, , , , 
2020-07-23 21:20:00,17.80, , , , 
2020-07-23 21:30:00,17.81, , , , 
2020-07-23 21:40:00,17.82, , , , 
2020-07-23 21:50:00,17.83, , , , 
2020-07-23 22:00:00,17.80, , , , 
2020-07-23 22:10:00,17.80, , , , 
2020-07-23 22:20:00,17.80, , , , 
2020-07-23 22:30:00,17.81, , , , 
2020-07-23 22:40:00,17.80, , , , 
2020-07-23 22:50:00,17.82, , , , 
2020-07-23 23:00:00,17.80, , , , 
2020-07-23 23:10:00,17.82, , , , 
2020-07-23 23:20:00,17.78, , , , 
2020-07-23 23:30:00,17.81, , , , 
2020-07-23 23:40:00,17.78, , , , 
2020-07-23 23:50:00,17.80, , , , 
2020-07-24 00:00:00,17.80, , , , 
2020-07-24 00:10:00,17.81, , , , 
2020-07-24 00:20:00,17.81, , , , 
2020-07-24 00:30:00,17.79, , , , 
2020-07-24 00:40:00,17.79, , , , 
2020-07-24 00:50:00,17.81, , , , 
2020-07-24 01:00:00,17.81, , , , 
2020-07-24 01:10:00,17.81, , , , 
2020-07-24 01:20:00,17.81, , , , 
2020-07-24 01:30:00,17.81, , , , 
2020-07-24 01:40:00,17.84, , , , 
2020-07-24 01:50:00,17.84, , , , 
2020-07-24 02:00:00,17.81, , , , 
2020-07-24 02:10:00,17.80, , , , 
2020-07-24 02:20:00,17.80, , , , 
2020-07-24 02:30:00,17.80, , , , 
2020-07-24 02:40:00,17.80, , , , 
2020-07-24 02:50:00,17.80, , , , 
2020-07-24 03:00:00,17.81, , , , 
2020-07-24 03:10:00,17.81, , , , 
2020-07-24 03:20:00,17.81, , , , 
2020-07-24 03:30:00,17.81, , , , 
2020-07-24 03:40:00,17.79, , , , 
2020-07-24 03:50:00,17.80, , , , 
2020-07-24 04:00:00,17.80, , , , 
2020-07-24 04:10:00,17.78, , , , 
2020-07-24 04:20:00,17.81, , , , 
2020-07-24 04:30:00,17.84, , , , 
2020-07-24 04:40:00,17.83, , , , 
