Date,Time,Probe,Type,Value
2022-05-04,00:00:00,Tmp-1,Temp,14.8
2022-05-04,00:00:00,pH-1,pH,7.8
2022-05-04,00:00:00,Salt-1,Cond,27.8
2022-05-04,00:00:00,S1FLW,gph,0
2022-05-04,00:00:00,N1FLW,gph,7.2
2022-05-04,00:00:00,D1FLW,gph,0
2022-05-04,00:00:00,HEATER-2A,Amps,0
2022-05-04,00:00:00,PWRHD-2A,Amps,0.8
2022-05-04,00:00:00,SOL-TNK-2A,Amps,0
2022-05-04,00:00:00,LIGHT-TNK-2A,Amps,0
2022-05-04,00:00:00,HEATER-4A,Amps,0
2022-05-04,00:00:00,PWRHD-4A,Amps,0.8
2022-05-04,00:00:00,SOL-TNK-4A,Amps,0
2022-05-04,00:00:00,LIGHT-TNK-4A,Amps,0
2022-05-04,00:00:00,HEATER-2W,pwr,0
2022-05-04,00:00:00,PWRHD-2W,pwr,58
2022-05-04,00:00:00,SOL-TNK-2W,pwr,0
2022-05-04,00:00:00,LIGHT-TNK-2W,pwr,0
2022-05-04,00:00:00,HEATER-4W,pwr,1
2022-05-04,00:00:00,PWRHD-4W,pwr,58
2022-05-04,00:00:00,SOL-TNK-4W,pwr,0
2022-05-04,00:00:00,LIGHT-TNK-4W,pwr,1
2022-05-04,00:00:00,Volt_4,volts,117
2022-05-04,00:00:00,S1-FM1,Amps,0
2022-05-04,00:00:00,N1-FM1,Amps,0.8
2022-05-04,00:00:00,D1-FM1,Amps,0
2022-05-04,00:00:00,LIGHT-TNK-1A,Amps,0
2022-05-04,00:00:00,HEATER-3A,Amps,0
2022-05-04,00:00:00,PWRHD-3A,Amps,0.8
2022-05-04,00:00:00,SOL-TNK-3A,Amps,0
2022-05-04,00:00:00,LIGHT-TNK-3A,Amps,0
2022-05-04,00:00:00,HEATER-1W,pwr,1
2022-05-04,00:00:00,PWRHD-1W,pwr,60
2022-05-04,00:00:00,SOL-TNK-1W,pwr,1
2022-05-04,00:00:00,LIGHT-TNK-1W,pwr,1
2022-05-04,00:00:00,HEATER-3W,pwr,0
2022-05-04,00:00:00,PWRHD-3W,pwr,58
2022-05-04,00:00:00,SOL-TNK-3W,pwr,1
2022-05-04,00:00:00,LIGHT-TNK-3W,pwr,0
2022-05-04,00:00:00,Volt_6,volts,118
2022-05-04,00:00:00,S4FLW,gph,0
2022-05-04,00:00:00,N4FLW,gph,11.3
2022-05-04,00:00:00,D4FLW,gph,0
2022-05-04,00:00:00,Tmp-3,Temp,13.5
2022-05-04,00:00:00,pH-3,pH,7.74
2022-05-04,00:00:00,S2FLW,gph,0
2022-05-04,00:00:00,N2FLW,gph,13.4
2022-05-04,00:00:00,D2FLW,gph,0
2022-05-04,00:00:00,S3FLW,gph,0
2022-05-04,00:00:00,N3FLW,gph,12.2
2022-05-04,00:00:00,D3FLW,gph,0
2022-05-04,00:00:00,Tmp-2,Temp,13.3
2022-05-04,00:00:00,pH-2,pH,7.8
2022-05-04,00:00:00,Tmp-4,Temp,13.7
2022-05-04,00:00:00,pH-4,pH,7.9
2022-05-04,00:00:00,Tmp-5,Temp,20.5
2022-05-04,00:00:00,pH-5,pH,6.26
2022-05-04,00:00:00,Salt-5,Cond,27.5
2022-05-04,00:00:00,HEATER-5A,Amps,0
2022-05-04,00:00:00,PWRHD-5A,Amps,0
2022-05-04,00:00:00,SOL-TNK-5A,Amps,0
2022-05-04,00:00:00,LIGHT-TNK-5A,Amps,0
2022-05-04,00:00:00,HEATER-7A,Amps,0
2022-05-04,00:00:00,PWRHD-7A,Amps,0
2022-05-04,00:00:00,SOL-TNK-7A,Amps,0
2022-05-04,00:00:00,LIGHT-TNK-7A,Amps,0
2022-05-04,00:00:00,HEATER-5W,pwr,0
2022-05-04,00:00:00,PWRHD-5W,pwr,0
2022-05-04,00:00:00,SOL-TNK-5W,pwr,0
2022-05-04,00:00:00,LIGHT-TNK-5W,pwr,0
2022-05-04,00:00:00,HEATER-7W,pwr,0
2022-05-04,00:00:00,PWRHD-7W,pwr,0
2022-05-04,00:00:00,SOL-TNK-7W,pwr,1
2022-05-04,00:00:00,LIGHT-TNK-7W,pwr,0
2022-05-04,00:00:00,Volt_2,volts,118
2022-05-04,00:00:00,HEATER-6A,Amps,0
2022-05-04,00:00:00,PWRHD-6A,Amps,0
2022-05-04,00:00:00,SOL-TNK-6A,Amps,0
2022-05-04,00:00:00,LIGHT-TNK-6A,Amps,0
2022-05-04,00:00:00,HEATER-8A,Amps,0
2022-05-04,00:00:00,PWRHD-8A,Amps,0.8
2022-05-04,00:00:00,SOL-TNK-8A,Amps,0
2022-05-04,00:00:00,LIGHT-TNK-8A,Amps,0
2022-05-04,00:00:00,HEATER-6W,pwr,0
2022-05-04,00:00:00,PWRHD-6W,pwr,0
2022-05-04,00:00:00,SOL-TNK-6W,pwr,0
2022-05-04,00:00:00,LIGHT-TNK-6W,pwr,0
2022-05-04,00:00:00,HEATER-8W,pwr,0
2022-05-04,00:00:00,PWRHD-8W,pwr,61
2022-05-04,00:00:00,SOL-TNK-8W,pwr,0
2022-05-04,00:00:00,LIGHT-TNK-8W,pwr,0
2022-05-04,00:00:00,Volt_3,volts,118
2022-05-04,00:00:00,Tmp-6,Temp,20.9
2022-05-04,00:00:00,pH-6,pH,6.63
2022-05-04,00:00:00,S5FLW,gph,0
2022-05-04,00:00:00,N5FLW,gph,0
2022-05-04,00:00:00,D5FLW,gph,0
2022-05-04,00:00:00,Tmp-7,Temp,20.5
2022-05-04,00:00:00,pH-7,pH,6.9
2022-05-04,00:00:00,S6FLW,gph,0
2022-05-04,00:00:00,N6FLW,gph,0
2022-05-04,00:00:00,D6FLW,gph,0
2022-05-04,00:00:00,Tmp-8,Temp,14.4
2022-05-04,00:00:00,pH-8,pH,7.77
2022-05-04,00:00:00,S7FLW,gph,0
2022-05-04,00:00:00,N7FLW,gph,0
2022-05-04,00:00:00,D7FLW,gph,0
2022-05-04,00:00:00,S8FLW,gph,0
2022-05-04,00:00:00,N8FLW,gph,7.9
2022-05-04,00:00:00,D8FLW,gph,6.5
2022-05-04,00:00:00,Tmp-9,Temp,13
2022-05-04,00:00:00,pH-9,pH,7.8
2022-05-04,00:00:00,Salt-9,Cond,24.5
2022-05-04,00:00:00,HEATER-9A,Amps,0
2022-05-04,00:00:00,PWRHD-9A,Amps,0.8
2022-05-04,00:00:00,SOL-TNK-9A,Amps,0
2022-05-04,00:00:00,LIGHT-TNK-9A,Amps,0
2022-05-04,00:00:00,HEATER-11A,Amps,0
2022-05-04,00:00:00,PWRHD-11A,Amps,0.7
2022-05-04,00:00:00,SOL-TNK-11A,Amps,0
2022-05-04,00:00:00,LIGHT-TNK-11,Amps,0
2022-05-04,00:00:00,HEATER-9W,pwr,0
2022-05-04,00:00:00,PWRHD-9W,pwr,60
2022-05-04,00:00:00,SOL-TNK-9W,pwr,0
2022-05-04,00:00:00,LIGHT-TNK-9W,pwr,0
2022-05-04,00:00:00,HEATER-11W,pwr,0
2022-05-04,00:00:00,PWRHD-11W,pwr,58
2022-05-04,00:00:00,SOL-TNK-11W,pwr,0
2022-05-04,00:00:00,LIGHT-TNK-11,pwr,0
2022-05-04,00:00:00,HEATER-10A,Amps,0
2022-05-04,00:00:00,PWRHD-10A,Amps,0.7
2022-05-04,00:00:00,SOL-TNK-10A,Amps,0
2022-05-04,00:00:00,LIGHT-TNK-10,Amps,0
2022-05-04,00:00:00,HEATER-12A,Amps,0
2022-05-04,00:00:00,PWRHD-12A,Amps,0.8
2022-05-04,00:00:00,SOL-TNK-12A,Amps,0
2022-05-04,00:00:00,LIGHT-TNK-12,Amps,0
2022-05-04,00:00:00,HEATER-10W,pwr,0
2022-05-04,00:00:00,PWRHD-10W,pwr,58
2022-05-04,00:00:00,SOL-TNK-10W,pwr,0
2022-05-04,00:00:00,LIGHT-TNK-10,pwr,0
2022-05-04,00:00:00,HEATER-12W,pwr,0
2022-05-04,00:00:00,PWRHD-12W,pwr,58
2022-05-04,00:00:00,SOL-TNK-12W,pwr,0
2022-05-04,00:00:00,LIGHT-TNK-12,pwr,0
2022-05-04,00:00:00,Tmp-10,Temp,13
2022-05-04,00:00:00,pH-10,pH,7.89
2022-05-04,00:00:00,S9-FLW,gph,0
2022-05-04,00:00:00,N9-FLW,gph,12
2022-05-04,00:00:00,D9-FLW,gph,0
2022-05-04,00:00:00,Tmp-11,Temp,13.1
2022-05-04,00:00:00,pH-11,pH,7.8
2022-05-04,00:00:00,S10FLW,gph,0
2022-05-04,00:00:00,N10FLW,gph,11.9
2022-05-04,00:00:00,D10FLW,gph,0
2022-05-04,00:00:00,Tmp-12,Temp,12.7
