Date,Probe,Type,Value
01/31/2020 00:00:00,Tmp-13,Temp,18.2
01/31/2020 00:00:00,pH-13,pH,7.98
01/31/2020 00:00:00,Tmp-14,Temp,17.8
01/31/2020 00:00:00,pH-14,pH,8.04
01/31/2020 00:00:00,Tmp-15,Temp,17.7
01/31/2020 00:00:00,pH-15,pH,8.17
01/31/2020 00:00:00,Tmp-16,Temp,18.0
01/31/2020 00:00:00,pH-16,pH,7.98
01/31/2020 00:10:00,Tmp-13,Temp,18.2
01/31/2020 00:10:00,pH-13,pH,7.98
01/31/2020 00:10:00,Tmp-14,Temp,17.8
01/31/2020 00:10:00,pH-14,pH,8.05
01/31/2020 00:10:00,Tmp-15,Temp,17.7
01/31/2020 00:10:00,pH-15,pH,8.17
01/31/2020 00:10:00,Tmp-16,Temp,18.0
01/31/2020 00:10:00,pH-16,pH,7.99
01/31/2020 00:20:00,Tmp-13,Temp,18.2
01/31/2020 00:20:00,pH-13,pH,7.98
01/31/2020 00:20:00,Tmp-14,Temp,17.8
01/31/2020 00:20:00,pH-14,pH,8.01
01/31/2020 00:20:00,Tmp-15,Temp,17.7
01/31/2020 00:20:00,pH-15,pH,8.17
01/31/2020 00:20:00,Tmp-16,Temp,18.0
01/31/2020 00:20:00,pH-16,pH,7.99
01/31/2020 00:30:00,Tmp-13,Temp,18.2
01/31/2020 00:30:00,pH-13,pH,7.98
01/31/2020 00:30:00,Tmp-14,Temp,17.8
01/31/2020 00:30:00,pH-14,pH,8.01
01/31/2020 00:30:00,Tmp-15,Temp,17.7
01/31/2020 00:30:00,pH-15,pH,8.17
01/31/2020 00:30:00,Tmp-16,Temp,18.0
01/31/2020 00:30:00,pH-16,pH,7.99
01/31/2020 00:40:00,Tmp-13,Temp,18.2
01/31/2020 00:40:00,pH-13,pH,7.98
01/31/2020 00:40:00,Tmp-14,Temp,17.8
01/31/2020 00:40:00,pH-14,pH,8.01
01/31/2020 00:40:00,Tmp-15,Temp,17.7
01/31/2020 00:40:00,pH-15,pH,8.18
01/31/2020 00:40:00,Tmp-16,Temp,18.0
01/31/2020 00:40:00,pH-16,pH,7.99
01/31/2020 00:50:00,Tmp-13,Temp,18.2
01/31/2020 00:50:00,pH-13,pH,7.98
01/31/2020 00:50:00,Tmp-14,Temp,17.8
01/31/2020 00:50:00,pH-14,pH,8.01
01/31/2020 00:50:00,Tmp-15,Temp,17.6
01/31/2020 00:50:00,pH-15,pH,8.18
01/31/2020 00:50:00,Tmp-16,Temp,18.0
01/31/2020 00:50:00,pH-16,pH,7.99
01/31/2020 01:00:00,Tmp-13,Temp,18.2
01/31/2020 01:00:00,pH-13,pH,7.98
01/31/2020 01:00:00,Tmp-14,Temp,17.8
01/31/2020 01:00:00,pH-14,pH,8.01
01/31/2020 01:00:00,Tmp-15,Temp,17.6
01/31/2020 01:00:00,pH-15,pH,8.18
01/31/2020 01:00:00,Tmp-16,Temp,18.0
01/31/2020 01:00:00,pH-16,pH,7.99
01/31/2020 01:10:00,Tmp-13,Temp,18.2
01/31/2020 01:10:00,pH-13,pH,7.98
01/31/2020 01:10:00,Tmp-14,Temp,17.8
01/31/2020 01:10:00,pH-14,pH,8.01
01/31/2020 01:10:00,Tmp-15,Temp,17.6
01/31/2020 01:10:00,pH-15,pH,8.18
01/31/2020 01:10:00,Tmp-16,Temp,18.0
01/31/2020 01:10:00,pH-16,pH,7.99
01/31/2020 01:20:00,Tmp-13,Temp,18.2
01/31/2020 01:20:00,pH-13,pH,7.98
01/31/2020 01:20:00,Tmp-14,Temp,17.8
01/31/2020 01:20:00,pH-14,pH,8.02
01/31/2020 01:20:00,Tmp-15,Temp,17.6
01/31/2020 01:20:00,pH-15,pH,8.18
01/31/2020 01:20:00,Tmp-16,Temp,18.0
01/31/2020 01:20:00,pH-16,pH,7.99
01/31/2020 01:30:00,Tmp-13,Temp,18.1
01/31/2020 01:30:00,pH-13,pH,7.98
01/31/2020 01:30:00,Tmp-14,Temp,17.8
01/31/2020 01:30:00,pH-14,pH,8.02
