Date,Probe,Type,Value
01/31/2020 00:00:00,Tmp-5,Temp,16.6
01/31/2020 00:00:00,pH-5,pH,4.35
01/31/2020 00:00:00,Tmp-6,Temp,17.0
01/31/2020 00:00:00,pH-6,pH,4.32
01/31/2020 00:00:00,Tmp-7,Temp,17.2
01/31/2020 00:00:00,pH-7,pH,7.55
01/31/2020 00:00:00,Tmp-8,Temp,17.0
01/31/2020 00:00:00,pH-8,pH,7.70
01/31/2020 00:10:00,Tmp-5,Temp,16.6
01/31/2020 00:10:00,pH-5,pH,4.35
01/31/2020 00:10:00,Tmp-6,Temp,17.0
01/31/2020 00:10:00,pH-6,pH,4.32
01/31/2020 00:10:00,Tmp-7,Temp,17.2
01/31/2020 00:10:00,pH-7,pH,7.55
01/31/2020 00:10:00,Tmp-8,Temp,17.0
01/31/2020 00:10:00,pH-8,pH,7.71
01/31/2020 00:20:00,Tmp-5,Temp,16.6
01/31/2020 00:20:00,pH-5,pH,4.35
01/31/2020 00:20:00,Tmp-6,Temp,17.0
01/31/2020 00:20:00,pH-6,pH,4.32
01/31/2020 00:20:00,Tmp-7,Temp,17.2
01/31/2020 00:20:00,pH-7,pH,7.54
01/31/2020 00:20:00,Tmp-8,Temp,17.0
01/31/2020 00:20:00,pH-8,pH,7.68
01/31/2020 00:30:00,Tmp-5,Temp,16.6
01/31/2020 00:30:00,pH-5,pH,4.35
01/31/2020 00:30:00,Tmp-6,Temp,17.0
01/31/2020 00:30:00,pH-6,pH,4.33
01/31/2020 00:30:00,Tmp-7,Temp,17.1
01/31/2020 00:30:00,pH-7,pH,7.55
01/31/2020 00:30:00,Tmp-8,Temp,16.9
01/31/2020 00:30:00,pH-8,pH,7.67
01/31/2020 00:40:00,Tmp-5,Temp,16.6
01/31/2020 00:40:00,pH-5,pH,4.35
01/31/2020 00:40:00,Tmp-6,Temp,17.0
01/31/2020 00:40:00,pH-6,pH,4.33
01/31/2020 00:40:00,Tmp-7,Temp,17.1
01/31/2020 00:40:00,pH-7,pH,7.55
01/31/2020 00:40:00,Tmp-8,Temp,17.0
01/31/2020 00:40:00,pH-8,pH,7.69
01/31/2020 00:50:00,Tmp-5,Temp,16.6
01/31/2020 00:50:00,pH-5,pH,4.35
01/31/2020 00:50:00,Tmp-6,Temp,16.9
01/31/2020 00:50:00,pH-6,pH,4.33
01/31/2020 00:50:00,Tmp-7,Temp,17.1
01/31/2020 00:50:00,pH-7,pH,7.54
01/31/2020 00:50:00,Tmp-8,Temp,17.0
01/31/2020 00:50:00,pH-8,pH,7.70
01/31/2020 01:00:00,Tmp-5,Temp,16.6
01/31/2020 01:00:00,pH-5,pH,4.35
01/31/2020 01:00:00,Tmp-6,Temp,17.0
01/31/2020 01:00:00,pH-6,pH,4.33
01/31/2020 01:00:00,Tmp-7,Temp,17.1
01/31/2020 01:00:00,pH-7,pH,7.55
01/31/2020 01:00:00,Tmp-8,Temp,16.9
01/31/2020 01:00:00,pH-8,pH,7.71
01/31/2020 01:10:00,Tmp-5,Temp,16.6
01/31/2020 01:10:00,pH-5,pH,4.35
01/31/2020 01:10:00,Tmp-6,Temp,17.0
01/31/2020 01:10:00,pH-6,pH,4.33
01/31/2020 01:10:00,Tmp-7,Temp,17.1
01/31/2020 01:10:00,pH-7,pH,7.55
01/31/2020 01:10:00,Tmp-8,Temp,17.0
01/31/2020 01:10:00,pH-8,pH,7.68
01/31/2020 01:20:00,Tmp-5,Temp,16.6
01/31/2020 01:20:00,pH-5,pH,4.35
01/31/2020 01:20:00,Tmp-6,Temp,16.9
01/31/2020 01:20:00,pH-6,pH,4.33
01/31/2020 01:20:00,Tmp-7,Temp,17.1
01/31/2020 01:20:00,pH-7,pH,7.55
01/31/2020 01:20:00,Tmp-8,Temp,17.0
01/31/2020 01:20:00,pH-8,pH,7.67
01/31/2020 01:30:00,Tmp-5,Temp,16.6
01/31/2020 01:30:00,pH-5,pH,4.35
01/31/2020 01:30:00,Tmp-6,Temp,17.0
01/31/2020 01:30:00,pH-6,pH,4.33
01/31/2020 01:30:00,Tmp-7,Temp,17.1
01/31/2020 01:30:00,pH-7,pH,7.55
01/31/2020 01:30:00,Tmp-8,Temp,17.0
01/31/2020 01:30:00,pH-8,pH,7.67
01/31/2020 01:40:00,Tmp-5,Temp,16.6
01/31/2020 01:40:00,pH-5,pH,4.35
01/31/2020 01:40:00,Tmp-6,Temp,17.0
01/31/2020 01:40:00,pH-6,pH,4.33
01/31/2020 01:40:00,Tmp-7,Temp,17.1
01/31/2020 01:40:00,pH-7,pH,7.55
01/31/2020 01:40:00,Tmp-8,Temp,17.0
01/31/2020 01:40:00,pH-8,pH,7.70
01/31/2020 01:50:00,Tmp-5,Temp,16.6
01/31/2020 01:50:00,pH-5,pH,4.35
01/31/2020 01:50:00,Tmp-6,Temp,17.0
01/31/2020 01:50:00,pH-6,pH,4.33
01/31/2020 01:50:00,Tmp-7,Temp,17.1
01/31/2020 01:50:00,pH-7,pH,7.55
01/31/2020 01:50:00,Tmp-8,Temp,17.0
01/31/2020 01:50:00,pH-8,pH,7.71
01/31/2020 02:00:00,Tmp-5,Temp,16.6
01/31/2020 02:00:00,pH-5,pH,4.35
01/31/2020 02:00:00,Tmp-6,Temp,16.9
01/31/2020 02:00:00,pH-6,pH,4.33
01/31/2020 02:00:00,Tmp-7,Temp,17.1
01/31/2020 02:00:00,pH-7,pH,7.55
01/31/2020 02:00:00,Tmp-8,Temp,17.0
01/31/2020 02:00:00,pH-8,pH,7.71
01/31/2020 02:10:00,Tmp-5,Temp,16.6
01/31/2020 02:10:00,pH-5,pH,4.35
01/31/2020 02:10:00,Tmp-6,Temp,17.0
01/31/2020 02:10:00,pH-6,pH,4.33
01/31/2020 02:10:00,Tmp-7,Temp,17.1
01/31/2020 02:10:00,pH-7,pH,7.55
01/31/2020 02:10:00,Tmp-8,Temp,17.0
01/31/2020 02:10:00,pH-8,pH,7.67
01/31/2020 02:20:00,Tmp-5,Temp,16.6
01/31/2020 02:20:00,pH-5,pH,4.36
01/31/2020 02:20:00,Tmp-6,Temp,17.0
01/31/2020 02:20:00,pH-6,pH,4.33
01/31/2020 02:20:00,Tmp-7,Temp,17.1
01/31/2020 02:20:00,pH-7,pH,7.55
01/31/2020 02:20:00,Tmp-8,Temp,17.0
01/31/2020 02:20:00,pH-8,pH,7.67
01/31/2020 02:30:00,Tmp-5,Temp,16.6
01/31/2020 02:30:00,pH-5,pH,4.36
01/31/2020 02:30:00,Tmp-6,Temp,17.0
01/31/2020 02:30:00,pH-6,pH,4.33
01/31/2020 02:30:00,Tmp-7,Temp,17.1
01/31/2020 02:30:00,pH-7,pH,7.55
01/31/2020 02:30:00,Tmp-8,Temp,17.0
01/31/2020 02:30:00,pH-8,pH,7.69
01/31/2020 02:40:00,Tmp-5,Temp,16.6
01/31/2020 02:40:00,pH-5,pH,4.36
01/31/2020 02:40:00,Tmp-6,Temp,16.9
01/31/2020 02:40:00,pH-6,pH,4.33
01/31/2020 02:40:00,Tmp-7,Temp,17.1
01/31/2020 02:40:00,pH-7,pH,7.55
01/31/2020 02:40:00,Tmp-8,Temp,17.0
01/31/2020 02:40:00,pH-8,pH,7.71
01/31/2020 02:50:00,Tmp-5,Temp,16.6
01/31/2020 02:50:00,pH-5,pH,4.36
01/31/2020 02:50:00,Tmp-6,Temp,17.0
01/31/2020 02:50:00,pH-6,pH,4.33
01/31/2020 02:50:00,Tmp-7,Temp,17.1
01/31/2020 02:50:00,pH-7,pH,7.55
01/31/2020 02:50:00,Tmp-8,Temp,17.0
01/31/2020 02:50:00,pH-8,pH,7.71
01/31/2020 03:00:00,Tmp-5,Temp,16.6
01/31/2020 03:00:00,pH-5,pH,4.36
01/31/2020 03:00:00,Tmp-6,Temp,17.0
01/31/2020 03:00:00,pH-6,pH,4.33
01/31/2020 03:00:00,Tmp-7,Temp,17.1
01/31/2020 03:00:00,pH-7,pH,7.55
01/31/2020 03:00:00,Tmp-8,Temp,17.0
01/31/2020 03:00:00,pH-8,pH,7.68
01/31/2020 03:10:00,Tmp-5,Temp,16.6
01/31/2020 03:10:00,pH-5,pH,4.36
01/31/2020 03:10:00,Tmp-6,Temp,16.9
01/31/2020 03:10:00,pH-6,pH,4.33
01/31/2020 03:10:00,Tmp-7,Temp,17.1
01/31/2020 03:10:00,pH-7,pH,7.55
01/31/2020 03:10:00,Tmp-8,Temp,17.0
01/31/2020 03:10:00,pH-8,pH,7.67
01/31/2020 03:20:00,Tmp-5,Temp,16.6
01/31/2020 03:20:00,pH-5,pH,4.36
01/31/2020 03:20:00,Tmp-6,Temp,16.9
01/31/2020 03:20:00,pH-6,pH,4.33
01/31/2020 03:20:00,Tmp-7,Temp,17.1
01/31/2020 03:20:00,pH-7,pH,7.54
01/31/2020 03:20:00,Tmp-8,Temp,17.0
01/31/2020 03:20:00,pH-8,pH,7.69
01/31/2020 03:30:00,Tmp-5,Temp,16.6
01/31/2020 03:30:00,pH-5,pH,4.36
01/31/2020 03:30:00,Tmp-6,Temp,17.0
01/31/2020 03:30:00,pH-6,pH,4.33
01/31/2020 03:30:00,Tmp-7,Temp,17.1
01/31/2020 03:30:00,pH-7,pH,7.54
01/31/2020 03:30:00,Tmp-8,Temp,17.0
01/31/2020 03:30:00,pH-8,pH,7.70
01/31/2020 03:40:00,Tmp-5,Temp,16.6
01/31/2020 03:40:00,pH-5,pH,4.36
01/31/2020 03:40:00,Tmp-6,Temp,16.9
01/31/2020 03:40:00,pH-6,pH,4.34
01/31/2020 03:40:00,Tmp-7,Temp,17.1
01/31/2020 03:40:00,pH-7,pH,7.55
01/31/2020 03:40:00,Tmp-8,Temp,17.0
01/31/2020 03:40:00,pH-8,pH,7.71
01/31/2020 03:50:00,Tmp-5,Temp,16.6
01/31/2020 03:50:00,pH-5,pH,4.36
01/31/2020 03:50:00,Tmp-6,Temp,17.0
01/31/2020 03:50:00,pH-6,pH,4.34
01/31/2020 03:50:00,Tmp-7,Temp,17.1
01/31/2020 03:50:00,pH-7,pH,7.55
01/31/2020 03:50:00,Tmp-8,Temp,17.0
01/31/2020 03:50:00,pH-8,pH,7.69
01/31/2020 04:00:00,Tmp-5,Temp,16.6
01/31/2020 04:00:00,pH-5,pH,4.36
01/31/2020 04:00:00,Tmp-6,Temp,17.0
01/31/2020 04:00:00,pH-6,pH,4.34
01/31/2020 04:00:00,Tmp-7,Temp,17.1
01/31/2020 04:00:00,pH-7,pH,7.55
01/31/2020 04:00:00,Tmp-8,Temp,17.0
01/31/2020 04:00:00,pH-8,pH,7.67
01/31/2020 04:10:00,Tmp-5,Temp,16.6
01/31/2020 04:10:00,pH-5,pH,4.36
01/31/2020 04:10:00,Tmp-6,Temp,17.0
01/31/2020 04:10:00,pH-6,pH,4.34
01/31/2020 04:10:00,Tmp-7,Temp,17.1
01/31/2020 04:10:00,pH-7,pH,7.55
01/31/2020 04:10:00,Tmp-8,Temp,17.0
01/31/2020 04:10:00,pH-8,pH,7.67
01/31/2020 04:20:00,Tmp-5,Temp,16.6
01/31/2020 04:20:00,pH-5,pH,4.36
01/31/2020 04:20:00,Tmp-6,Temp,16.9
01/31/2020 04:20:00,pH-6,pH,4.34
01/31/2020 04:20:00,Tmp-7,Temp,17.0
01/31/2020 04:20:00,pH-7,pH,7.55
01/31/2020 04:20:00,Tmp-8,Temp,17.0
01/31/2020 04:20:00,pH-8,pH,7.69
01/31/2020 04:30:00,Tmp-5,Temp,16.6
01/31/2020 04:30:00,pH-5,pH,4.36
01/31/2020 04:30:00,Tmp-6,Temp,17.0
01/31/2020 04:30:00,pH-6,pH,4.34
01/31/2020 04:30:00,Tmp-7,Temp,17.0
01/31/2020 04:30:00,pH-7,pH,7.55
01/31/2020 04:30:00,Tmp-8,Temp,17.0
01/31/2020 04:30:00,pH-8,pH,7.71
01/31/2020 04:40:00,Tmp-5,Temp,16.6
01/31/2020 04:40:00,pH-5,pH,4.36
01/31/2020 04:40:00,Tmp-6,Temp,17.0
01/31/2020 04:40:00,pH-6,pH,4.34
01/31/2020 04:40:00,Tmp-7,Temp,17.0
01/31/2020 04:40:00,pH-7,pH,7.55
01/31/2020 04:40:00,Tmp-8,Temp,17.0
