Date,Probe,Type,Value
01/25/2020 00:00:00,Tmp-5,Temp,19.7
01/25/2020 00:00:00,pH-5,pH,4.23
01/25/2020 00:00:00,Tmp-6,Temp,18.8
01/25/2020 00:00:00,pH-6,pH,3.99
01/25/2020 00:00:00,Tmp-7,Temp,17.3
01/25/2020 00:00:00,pH-7,pH,7.54
01/25/2020 00:00:00,Tmp-8,Temp,17.2
01/25/2020 00:00:00,pH-8,pH,7.68
01/25/2020 00:10:00,Tmp-5,Temp,19.7
01/25/2020 00:10:00,pH-5,pH,4.23
01/25/2020 00:10:00,Tmp-6,Temp,19.0
01/25/2020 00:10:00,pH-6,pH,3.99
01/25/2020 00:10:00,Tmp-7,Temp,17.3
01/25/2020 00:10:00,pH-7,pH,7.54
01/25/2020 00:10:00,Tmp-8,Temp,17.2
01/25/2020 00:10:00,pH-8,pH,7.70
01/25/2020 00:20:00,Tmp-5,Temp,19.7
01/25/2020 00:20:00,pH-5,pH,4.23
01/25/2020 00:20:00,Tmp-6,Temp,19.0
01/25/2020 00:20:00,pH-6,pH,3.99
01/25/2020 00:20:00,Tmp-7,Temp,17.4
01/25/2020 00:20:00,pH-7,pH,7.55
01/25/2020 00:20:00,Tmp-8,Temp,17.2
01/25/2020 00:20:00,pH-8,pH,7.70
01/25/2020 00:30:00,Tmp-5,Temp,19.6
01/25/2020 00:30:00,pH-5,pH,4.23
01/25/2020 00:30:00,Tmp-6,Temp,18.9
01/25/2020 00:30:00,pH-6,pH,4.00
01/25/2020 00:30:00,Tmp-7,Temp,17.4
01/25/2020 00:30:00,pH-7,pH,7.55
01/25/2020 00:30:00,Tmp-8,Temp,17.2
01/25/2020 00:30:00,pH-8,pH,7.69
01/25/2020 00:40:00,Tmp-5,Temp,19.6
01/25/2020 00:40:00,pH-5,pH,4.23
01/25/2020 00:40:00,Tmp-6,Temp,18.8
01/25/2020 00:40:00,pH-6,pH,4.00
01/25/2020 00:40:00,Tmp-7,Temp,17.4
01/25/2020 00:40:00,pH-7,pH,7.56
01/25/2020 00:40:00,Tmp-8,Temp,17.2
01/25/2020 00:40:00,pH-8,pH,7.68
01/25/2020 00:50:00,Tmp-5,Temp,19.6
01/25/2020 00:50:00,pH-5,pH,4.23
01/25/2020 00:50:00,Tmp-6,Temp,18.8
01/25/2020 00:50:00,pH-6,pH,4.00
01/25/2020 00:50:00,Tmp-7,Temp,17.4
01/25/2020 00:50:00,pH-7,pH,7.53
01/25/2020 00:50:00,Tmp-8,Temp,17.2
01/25/2020 00:50:00,pH-8,pH,7.68
01/25/2020 01:00:00,Tmp-5,Temp,19.6
01/25/2020 01:00:00,pH-5,pH,4.23
01/25/2020 01:00:00,Tmp-6,Temp,19.0
01/25/2020 01:00:00,pH-6,pH,4.00
01/25/2020 01:00:00,Tmp-7,Temp,17.4
01/25/2020 01:00:00,pH-7,pH,7.53
01/25/2020 01:00:00,Tmp-8,Temp,17.2
01/25/2020 01:00:00,pH-8,pH,7.68
01/25/2020 01:10:00,Tmp-5,Temp,19.6
01/25/2020 01:10:00,pH-5,pH,4.23
01/25/2020 01:10:00,Tmp-6,Temp,19.0
01/25/2020 01:10:00,pH-6,pH,4.00
01/25/2020 01:10:00,Tmp-7,Temp,17.4
01/25/2020 01:10:00,pH-7,pH,7.54
01/25/2020 01:10:00,Tmp-8,Temp,17.2
01/25/2020 01:10:00,pH-8,pH,7.68
01/25/2020 01:20:00,Tmp-5,Temp,19.7
01/25/2020 01:20:00,pH-5,pH,4.23
01/25/2020 01:20:00,Tmp-6,Temp,19.0
01/25/2020 01:20:00,pH-6,pH,4.00
01/25/2020 01:20:00,Tmp-7,Temp,17.4
01/25/2020 01:20:00,pH-7,pH,7.54
01/25/2020 01:20:00,Tmp-8,Temp,17.2
01/25/2020 01:20:00,pH-8,pH,7.70
01/25/2020 01:30:00,Tmp-5,Temp,19.7
01/25/2020 01:30:00,pH-5,pH,4.23
01/25/2020 01:30:00,Tmp-6,Temp,18.9
01/25/2020 01:30:00,pH-6,pH,4.00
01/25/2020 01:30:00,Tmp-7,Temp,17.4
01/25/2020 01:30:00,pH-7,pH,7.54
01/25/2020 01:30:00,Tmp-8,Temp,17.2
01/25/2020 01:30:00,pH-8,pH,7.70
01/25/2020 01:40:00,Tmp-5,Temp,19.7
01/25/2020 01:40:00,pH-5,pH,4.23
01/25/2020 01:40:00,Tmp-6,Temp,18.9
01/25/2020 01:40:00,pH-6,pH,4.00
01/25/2020 01:40:00,Tmp-7,Temp,17.4
01/25/2020 01:40:00,pH-7,pH,7.55
01/25/2020 01:40:00,Tmp-8,Temp,17.2
01/25/2020 01:40:00,pH-8,pH,7.70
01/25/2020 01:50:00,Tmp-5,Temp,19.6
01/25/2020 01:50:00,pH-5,pH,4.23
01/25/2020 01:50:00,Tmp-6,Temp,19.0
01/25/2020 01:50:00,pH-6,pH,4.01
01/25/2020 01:50:00,Tmp-7,Temp,17.5
01/25/2020 01:50:00,pH-7,pH,7.55
01/25/2020 01:50:00,Tmp-8,Temp,17.2
01/25/2020 01:50:00,pH-8,pH,7.68
01/25/2020 02:00:00,Tmp-5,Temp,19.6
01/25/2020 02:00:00,pH-5,pH,4.23
01/25/2020 02:00:00,Tmp-6,Temp,19.1
01/25/2020 02:00:00,pH-6,pH,4.01
01/25/2020 02:00:00,Tmp-7,Temp,17.5
01/25/2020 02:00:00,pH-7,pH,7.55
01/25/2020 02:00:00,Tmp-8,Temp,17.2
01/25/2020 02:00:00,pH-8,pH,7.68
01/25/2020 02:10:00,Tmp-5,Temp,19.6
01/25/2020 02:10:00,pH-5,pH,4.23
01/25/2020 02:10:00,Tmp-6,Temp,19.1
01/25/2020 02:10:00,pH-6,pH,4.01
01/25/2020 02:10:00,Tmp-7,Temp,17.5
01/25/2020 02:10:00,pH-7,pH,7.55
01/25/2020 02:10:00,Tmp-8,Temp,17.2
01/25/2020 02:10:00,pH-8,pH,7.68
01/25/2020 02:20:00,Tmp-5,Temp,19.5
01/25/2020 02:20:00,pH-5,pH,4.23
01/25/2020 02:20:00,Tmp-6,Temp,18.9
01/25/2020 02:20:00,pH-6,pH,4.01
01/25/2020 02:20:00,Tmp-7,Temp,17.5
01/25/2020 02:20:00,pH-7,pH,7.54
01/25/2020 02:20:00,Tmp-8,Temp,17.2
01/25/2020 02:20:00,pH-8,pH,7.68
