Date,Probe,Type,Value
01/25/2020 00:00:00,Tmp-13,Temp,17.6
01/25/2020 00:00:00,pH-13,pH,7.98
01/25/2020 00:00:00,Tmp-14,Temp,17.8
01/25/2020 00:00:00,pH-14,pH,8.00
01/25/2020 00:00:00,Tmp-15,Temp,17.4
01/25/2020 00:00:00,pH-15,pH,8.14
01/25/2020 00:00:00,Tmp-16,Temp,17.2
01/25/2020 00:00:00,pH-16,pH,7.95
01/25/2020 00:10:00,Tmp-13,Temp,17.6
01/25/2020 00:10:00,pH-13,pH,7.98
01/25/2020 00:10:00,Tmp-14,Temp,17.8
01/25/2020 00:10:00,pH-14,pH,8.00
01/25/2020 00:10:00,Tmp-15,Temp,17.4
01/25/2020 00:10:00,pH-15,pH,8.14
01/25/2020 00:10:00,Tmp-16,Temp,17.2
01/25/2020 00:10:00,pH-16,pH,7.95
01/25/2020 00:20:00,Tmp-13,Temp,17.6
01/25/2020 00:20:00,pH-13,pH,7.98
01/25/2020 00:20:00,Tmp-14,Temp,17.8
01/25/2020 00:20:00,pH-14,pH,7.99
01/25/2020 00:20:00,Tmp-15,Temp,17.4
01/25/2020 00:20:00,pH-15,pH,8.14
01/25/2020 00:20:00,Tmp-16,Temp,17.2
01/25/2020 00:20:00,pH-16,pH,7.95
01/25/2020 00:30:00,Tmp-13,Temp,17.6
01/25/2020 00:30:00,pH-13,pH,7.98
01/25/2020 00:30:00,Tmp-14,Temp,17.8
01/25/2020 00:30:00,pH-14,pH,7.99
01/25/2020 00:30:00,Tmp-15,Temp,17.4
01/25/2020 00:30:00,pH-15,pH,8.14
01/25/2020 00:30:00,Tmp-16,Temp,17.2
01/25/2020 00:30:00,pH-16,pH,7.95
01/25/2020 00:40:00,Tmp-13,Temp,17.6
01/25/2020 00:40:00,pH-13,pH,7.98
01/25/2020 00:40:00,Tmp-14,Temp,17.8
01/25/2020 00:40:00,pH-14,pH,7.99
01/25/2020 00:40:00,Tmp-15,Temp,17.4
01/25/2020 00:40:00,pH-15,pH,8.14
01/25/2020 00:40:00,Tmp-16,Temp,17.2
01/25/2020 00:40:00,pH-16,pH,7.95
01/25/2020 00:50:00,Tmp-13,Temp,17.6
01/25/2020 00:50:00,pH-13,pH,7.98
01/25/2020 00:50:00,Tmp-14,Temp,17.8
01/25/2020 00:50:00,pH-14,pH,7.99
01/25/2020 00:50:00,Tmp-15,Temp,17.4
01/25/2020 00:50:00,pH-15,pH,8.14
01/25/2020 00:50:00,Tmp-16,Temp,17.2
01/25/2020 00:50:00,pH-16,pH,7.95
01/25/2020 01:00:00,Tmp-13,Temp,17.6
01/25/2020 01:00:00,pH-13,pH,7.98
01/25/2020 01:00:00,Tmp-14,Temp,17.8
01/25/2020 01:00:00,pH-14,pH,7.99
01/25/2020 01:00:00,Tmp-15,Temp,17.5
01/25/2020 01:00:00,pH-15,pH,8.14
01/25/2020 01:00:00,Tmp-16,Temp,17.2
01/25/2020 01:00:00,pH-16,pH,7.95
01/25/2020 01:10:00,Tmp-13,Temp,17.6
01/25/2020 01:10:00,pH-13,pH,7.98
01/25/2020 01:10:00,Tmp-14,Temp,17.8
01/25/2020 01:10:00,pH-14,pH,7.99
01/25/2020 01:10:00,Tmp-15,Temp,17.5
01/25/2020 01:10:00,pH-15,pH,8.13
01/25/2020 01:10:00,Tmp-16,Temp,17.2
01/25/2020 01:10:00,pH-16,pH,7.95
01/25/2020 01:20:00,Tmp-13,Temp,17.6
01/25/2020 01:20:00,pH-13,pH,7.98
01/25/2020 01:20:00,Tmp-14,Temp,17.9
01/25/2020 01:20:00,pH-14,pH,7.99
01/25/2020 01:20:00,Tmp-15,Temp,17.5
01/25/2020 01:20:00,pH-15,pH,8.13
01/25/2020 01:20:00,Tmp-16,Temp,17.2
01/25/2020 01:20:00,pH-16,pH,7.95
01/25/2020 01:30:00,Tmp-13,Temp,17.7
01/25/2020 01:30:00,pH-13,pH,7.98
01/25/2020 01:30:00,Tmp-14,Temp,17.9
01/25/2020 01:30:00,pH-14,pH,7.99
01/25/2020 01:30:00,Tmp-15,Temp,17.5
01/25/2020 01:30:00,pH-15,pH,8.13
01/25/2020 01:30:00,Tmp-16,Temp,17.2
01/25/2020 01:30:00,pH-16,pH,7.95
01/25/2020 01:40:00,Tmp-13,Temp,17.7
01/25/2020 01:40:00,pH-13,pH,7.98
01/25/2020 01:40:00,Tmp-14,Temp,17.9
01/25/2020 01:40:00,pH-14,pH,7.99
01/25/2020 01:40:00,Tmp-15,Temp,17.5
01/25/2020 01:40:00,pH-15,pH,8.13
01/25/2020 01:40:00,Tmp-16,Temp,17.2
01/25/2020 01:40:00,pH-16,pH,7.95
01/25/2020 01:50:00,Tmp-13,Temp,17.7
01/25/2020 01:50:00,pH-13,pH,7.97
01/25/2020 01:50:00,Tmp-14,Temp,17.9
01/25/2020 01:50:00,pH-14,pH,7.99
01/25/2020 01:50:00,Tmp-15,Temp,17.5
01/25/2020 01:50:00,pH-15,pH,8.13
01/25/2020 01:50:00,Tmp-16,Temp,17.2
01/25/2020 01:50:00,pH-16,pH,7.95
01/25/2020 02:00:00,Tmp-13,Temp,17.7
01/25/2020 02:00:00,pH-13,pH,7.97
