Date,Time,Probe,Type,Value
2020-08-25,00:00:00,Tmp-1,Temp,13.5
2020-08-25,00:00:00,pH-1,pH,7.97
2020-08-25,00:00:00,S2-FM2,Amps,0
2020-08-25,00:00:00,N2-FM2,Amps,0
2020-08-25,00:00:00,D2-FM2,Amps,0
2020-08-25,00:00:00,D2-FLW,Amps,0
2020-08-25,00:00:00,HEATER-3A,Amps,0
2020-08-25,00:00:00,PWRHD-3A,Amps,0
2020-08-25,00:00:00,SOL-TNK-3A,Amps,0
2020-08-25,00:00:00,LIGHT-TNK-3A,Amps,0
2020-08-25,00:00:00,HEATER-1W,pwr,0
2020-08-25,00:00:00,PWRHD-1W,pwr,5
2020-08-25,00:00:00,SOL-TNK-2W,pwr,0
2020-08-25,00:00:00,LIGHT-TNK-1W,pwr,0
2020-08-25,00:00:00,HEATER-3W,pwr,0
2020-08-25,00:00:00,PWRHD-3W,pwr,5
2020-08-25,00:00:00,SOL-TNK-3W,pwr,0
2020-08-25,00:00:00,LIGHT-TNK-3W,pwr,0
2020-08-25,00:00:00,Volt_7,volts,117
2020-08-25,00:00:00,Tmp-3,Temp,13.6
2020-08-25,00:00:00,pH-3,pH,7.86
2020-08-25,00:00:00,S2FLW,gph,0
2020-08-25,00:00:00,N2FLW,gph,13.8
2020-08-25,00:00:00,D2FLW,gph,0
2020-08-25,00:00:00,S1FLW,gph,0
2020-08-25,00:00:00,N1FLW,gph,7.1
2020-08-25,00:00:00,D1FLW,gph,0
2020-08-25,00:00:00,Tmp-2,Temp,15.5
2020-08-25,00:00:00,pH-2,pH,7.95
2020-08-25,00:00:00,Tmp-4,Temp,14.3
2020-08-25,00:00:00,pH-4,pH,7.97
2020-08-25,00:00:00,HEATER-2A,Amps,0
2020-08-25,00:00:00,PWRHD-2A,Amps,0
2020-08-25,00:00:00,SOL-TNK-1A,Amps,0
2020-08-25,00:00:00,LIGHT-TNK-2A,Amps,0
2020-08-25,00:00:00,HEATER-4A,Amps,0
2020-08-25,00:00:00,PWRHD-4A,Amps,0
2020-08-25,00:00:00,SOL-TNK-4A,Amps,0
2020-08-25,00:00:00,LIGHT-TNK-4A,Amps,0
2020-08-25,00:00:00,HEATER-2W,pwr,0
2020-08-25,00:00:00,PWRHD-2W,pwr,5
2020-08-25,00:00:00,SOL-TNK-1W,pwr,0
2020-08-25,00:00:00,LIGHT-TNK-2W,pwr,0
2020-08-25,00:00:00,HEATER-4W,pwr,0
2020-08-25,00:00:00,PWRHD-4W,pwr,5
2020-08-25,00:00:00,SOL-TNK-4W,pwr,0
2020-08-25,00:00:00,LIGHT-TNK-4W,pwr,0
2020-08-25,00:00:00,Volt_28,volts,117
2020-08-25,00:00:00,Tmp-5,Temp,13.5
2020-08-25,00:00:00,pH-5,pH,7.94
2020-08-25,00:00:00,HEATER-5A,Amps,0
2020-08-25,00:00:00,PWRHD-5A,Amps,0
2020-08-25,00:00:00,SOL-TNK-5A,Amps,0
2020-08-25,00:00:00,LIGHT-TNK-5A,Amps,0
2020-08-25,00:00:00,HEATER-7A,Amps,0
2020-08-25,00:00:00,PWRHD-7A,Amps,0
2020-08-25,00:00:00,SOL-TNK-7A,Amps,0
2020-08-25,00:00:00,LIGHT-TNK-7A,Amps,0
2020-08-25,00:00:00,HEATER-5W,pwr,0
2020-08-25,00:00:00,PWRHD-5W,pwr,4
2020-08-25,00:00:00,SOL-TNK-5W,pwr,0
2020-08-25,00:00:00,LIGHT-TNK-5W,pwr,0
2020-08-25,00:00:00,HEATER-7W,pwr,0
2020-08-25,00:00:00,PWRHD-7W,pwr,4
2020-08-25,00:00:00,SOL-TNK-7W,pwr,0
2020-08-25,00:00:00,LIGHT-TNK-7W,pwr,0
2020-08-25,00:00:00,Volt_2,volts,118
2020-08-25,00:00:00,HEATER-6A,Amps,0
2020-08-25,00:00:00,PWRHD-6A,Amps,0
2020-08-25,00:00:00,SOL-TNK-6A,Amps,0
2020-08-25,00:00:00,LIGHT-TNK-6A,Amps,0
2020-08-25,00:00:00,HEATER-8A,Amps,0
2020-08-25,00:00:00,PWRHD-8A,Amps,0
2020-08-25,00:00:00,SOL-TNK-8A,Amps,0
2020-08-25,00:00:00,LIGHT-TNK-8A,Amps,0
2020-08-25,00:00:00,HEATER-6W,pwr,0
2020-08-25,00:00:00,PWRHD-6W,pwr,4
2020-08-25,00:00:00,SOL-TNK-6W,pwr,0
2020-08-25,00:00:00,LIGHT-TNK-6W,pwr,0
2020-08-25,00:00:00,HEATER-8W,pwr,0
2020-08-25,00:00:00,PWRHD-8W,pwr,4
2020-08-25,00:00:00,SOL-TNK-8W,pwr,0
2020-08-25,00:00:00,LIGHT-TNK-8W,pwr,0
2020-08-25,00:00:00,Volt_3,volts,118
2020-08-25,00:00:00,Tmp-6,Temp,15.5
2020-08-25,00:00:00,pH-6,pH,7.93
2020-08-25,00:00:00,S5FLW,gph,0
2020-08-25,00:00:00,N5FLW,gph,12.5
2020-08-25,00:00:00,D5FLW,gph,0
2020-08-25,00:00:00,Tmp-7,Temp,13.6
2020-08-25,00:00:00,pH-7,pH,7.89
2020-08-25,00:00:00,S6FLW,gph,0
2020-08-25,00:00:00,N6FLW,gph,11.9
2020-08-25,00:00:00,D6FLW,gph,0
2020-08-25,00:00:00,Tmp-8,Temp,14.3
2020-08-25,00:00:00,pH-8,pH,7.92
2020-08-25,00:00:00,S7FLW,gph,0
2020-08-25,00:00:00,N7FLW,gph,3.9
2020-08-25,00:00:00,D7FLW,gph,0
2020-08-25,00:00:00,S8FLW,gph,0
2020-08-25,00:00:00,N8FLW,gph,14.1
2020-08-25,00:00:00,D8FLW,gph,0
2020-08-25,00:00:00,Tmp-9,Temp,13.5
2020-08-25,00:00:00,pH-9,pH,7.9
2020-08-25,00:00:00,HEATER-9A,Amps,0
2020-08-25,00:00:00,PWRHD-9A,Amps,0
2020-08-25,00:00:00,SOL-TNK-9A,Amps,0
2020-08-25,00:00:00,LIGHT-TNK-9A,Amps,0
2020-08-25,00:00:00,HEATER-11A,Amps,0
2020-08-25,00:00:00,PWRHD-11A,Amps,0
