SampleID,Date,TA_Raw,TA_Evap,Temp,mV,Salinity,Notes
Sump_initial,20191113,2143.948,2142.723,22.254,-43.4,31.9,
T7_initial,20191113,2149.56,2147.106,22.205,-46.7,31.9,
T13_initial,20191113,2216.89,2213.096,22.203,-57.9,32.01,
Sump_102319,20191113,2417.33,2411.818,22.211,-59,32.41,
T7_102319,20191113,2421.366,2414.467,22.193,-58.8,32.45,
T13_102319,20191113,2419.111,2410.845,22.177,-59.3,32.47,
Sump_102919,20191113,2439.499,2429.78,22.168,-57.4,32.54,
T7_102919,20191113,2441.727,2430.616,22.163,-57.2,32.62,
T13_102919,20191113,2448.759,2436.23,22.191,-57.4,32.53,
SCMI_110419,20191113,2267.016,2254.135,22.176,-56.4,34.76,SCMI water before offloading into sump.  50% system water change after sampling
Sump_111919,20191119,2340.494,2301.047,21.647,-55.5,34.1,
