Date,Time,Probe,Type,Value
2020-08-03,00:00:00,Tmp-1,Temp,15
2020-08-03,00:00:00,pH-1,pH,8.02
2020-08-03,00:00:00,S2-FM2,Amps,0
2020-08-03,00:00:00,N2-FM2,Amps,0
2020-08-03,00:00:00,D2-FM2,Amps,0
2020-08-03,00:00:00,D2-FLW,Amps,0
2020-08-03,00:00:00,HEATER-3A,Amps,0
2020-08-03,00:00:00,PWRHD-3A,Amps,0
2020-08-03,00:00:00,SOL-TNK-3A,Amps,0
2020-08-03,00:00:00,LIGHT-TNK-3A,Amps,0
2020-08-03,00:00:00,HEATER-1W,pwr,0
2020-08-03,00:00:00,PWRHD-1W,pwr,5
2020-08-03,00:00:00,SOL-TNK-2W,pwr,0
2020-08-03,00:00:00,LIGHT-TNK-1W,pwr,0
2020-08-03,00:00:00,HEATER-3W,pwr,0
2020-08-03,00:00:00,PWRHD-3W,pwr,5
2020-08-03,00:00:00,SOL-TNK-3W,pwr,0
2020-08-03,00:00:00,LIGHT-TNK-3W,pwr,0
2020-08-03,00:00:00,Volt_7,volts,118
2020-08-03,00:00:00,Tmp-3,Temp,15.6
2020-08-03,00:00:00,pH-3,pH,7.9
2020-08-03,00:00:00,S2FLW,gph,0
2020-08-03,00:00:00,N2FLW,gph,7
2020-08-03,00:00:00,D2FLW,gph,0
2020-08-03,00:00:00,S1FLW,gph,0
2020-08-03,00:00:00,N1FLW,gph,4.2
2020-08-03,00:00:00,D1FLW,gph,0
2020-08-03,00:00:00,S3FLW,gph,0
2020-08-03,00:00:00,N3FLW,gph,1202
2020-08-03,00:00:00,D3FLW,gph,917
2020-08-03,00:00:00,Tmp-2,Temp,16.5
2020-08-03,00:00:00,pH-2,pH,8
2020-08-03,00:00:00,Tmp-4,Temp,16.2
2020-08-03,00:00:00,pH-4,pH,8.02
2020-08-03,00:00:00,HEATER-2A,Amps,0
2020-08-03,00:00:00,PWRHD-2A,Amps,0
2020-08-03,00:00:00,SOL-TNK-1A,Amps,0
2020-08-03,00:00:00,LIGHT-TNK-2A,Amps,0
2020-08-03,00:00:00,HEATER-4A,Amps,0
2020-08-03,00:00:00,PWRHD-4A,Amps,0
2020-08-03,00:00:00,SOL-TNK-4A,Amps,0
